elapsed_s,backend_cpu_pct_total,backend_rss_mb_total,backend_process_count,postgres_total_cpu_pct,postgres_total_rss_mb,postgres_process_count,db_active_connections,db_total_connections
3.0,0.5,538.8,5,0.0,783.2,35,0,20
6.3,2.0,538.8,5,0.5,783.2,35,0,20
9.5,7.8,538.3,5,3.0,783.2,35,0,20
12.6,10.3,538.3,5,5.0,783.4,35,0,20
15.8,15.0,538.5,5,3.5,783.3,35,0,20
18.9,18.5,538.5,5,5.5,782.8,35,0,20
22.1,16.0,538.6,5,2.0,782.3,35,0,20
25.2,18.5,538.5,5,4.5,784.0,35,0,20
28.4,31.8,538.5,5,7.5,784.7,35,0,20
31.5,32.0,538.5,5,7.5,785.1,35,0,20
34.6,38.0,538.5,5,8.0,784.0,35,0,20
37.8,40.6,538.6,5,8.0,783.6,35,1,20
41.0,35.0,538.6,5,15.5,783.7,35,0,20
44.1,43.8,538.6,5,10.0,785.3,35,0,20
47.2,41.2,538.6,5,12.5,784.5,35,0,20
50.4,38.9,538.6,5,9.0,784.0,35,0,20
53.5,46.2,538.6,5,11.5,784.3,35,0,20
56.7,54.5,538.6,5,10.5,785.4,35,0,20
59.8,46.7,538.8,5,14.5,786.1,35,0,20
62.9,49.3,538.8,5,13.5,786.3,35,0,20
66.0,58.0,538.8,5,12.5,786.0,35,0,20
69.2,72.3,538.6,5,16.5,785.8,35,0,20
72.3,53.8,538.6,5,16.5,787.0,35,0,20
75.4,69.5,538.6,5,16.0,786.2,35,0,20
78.6,81.0,538.8,5,21.0,786.1,35,0,20
81.7,79.5,538.5,5,17.5,787.0,35,0,20
84.8,89.9,538.6,5,27.0,787.7,35,0,20
87.9,84.4,538.6,5,20.5,787.8,35,0,20
91.0,69.5,538.5,5,15.5,788.9,35,0,20
94.2,60.5,538.5,5,20.5,788.4,35,0,20
97.3,95.5,538.6,5,19.5,788.6,35,0,20
100.4,82.1,538.6,5,16.5,788.3,35,0,20
103.5,100.5,538.8,5,24.0,788.5,35,1,20
106.7,104.0,538.8,5,27.0,789.3,35,0,20
109.8,90.9,538.8,5,18.0,790.2,35,0,20
112.9,116.5,538.8,5,22.0,789.3,35,0,20
116.0,110.4,538.7,5,29.5,789.0,35,0,20
119.1,83.9,538.7,5,22.0,790.3,35,0,20
122.2,119.7,538.8,5,21.5,789.1,35,0,20
125.4,120.6,538.9,5,24.5,790.6,35,0,20
128.5,113.5,538.9,5,25.5,790.3,35,0,20
131.6,119.4,539.2,5,27.5,789.4,35,0,20
134.7,130.2,539.2,5,29.0,790.6,35,1,20
137.8,148.4,539.1,5,37.5,789.8,35,1,20
140.9,126.7,538.8,5,26.5,791.5,35,0,20
144.0,121.0,539.0,5,25.0,790.4,35,0,20
147.3,188.6,549.7,5,46.5,982.5,45,0,48
154.6,192.3,567.1,5,36.5,1210.6,56,0,41
157.9,114.2,568.7,5,21.5,1049.6,49,0,34
161.2,64.6,569.7,5,14.4,1050.9,49,0,34
164.4,52.9,568.9,5,11.5,1057.7,50,0,34
167.6,47.2,568.9,5,11.2,1053.3,49,0,34
170.8,38.7,569.2,5,8.5,1053.4,49,0,34
174.0,39.3,569.9,5,9.5,1053.3,49,0,34
177.2,41.3,574.3,5,11.8,1056.7,49,0,34
180.4,115.4,581.2,5,21.2,1062.9,49,0,34
183.6,54.2,581.4,5,8.5,1062.7,49,0,34
186.8,52.9,581.8,5,10.0,1062.7,49,0,34
190.0,68.1,583.0,5,12.9,1063.0,49,0,34
193.2,38.1,584.0,5,11.0,1063.1,49,0,34
196.4,40.1,584.4,5,9.5,1063.4,49,0,34
199.6,23.1,584.7,5,4.5,1062.9,49,0,34
202.8,24.5,585.2,5,9.0,1063.2,49,0,34
206.0,41.8,585.5,5,10.0,1064.0,49,0,34
209.2,86.8,587.1,5,12.0,1063.4,49,0,34
212.4,54.1,587.3,5,5.4,1064.2,49,0,34
215.6,42.5,587.4,5,9.9,1064.1,49,0,34
218.8,76.4,587.5,5,18.2,1064.5,49,0,34
222.0,54.0,587.6,5,18.9,1065.4,49,1,34
225.2,46.6,587.6,5,17.1,1065.5,49,0,34
228.4,48.8,587.7,5,12.5,1065.8,49,0,34
231.7,25.8,588.0,5,7.8,1065.4,49,0,34
234.9,33.3,588.4,5,5.0,1065.9,49,0,34
238.0,46.5,588.4,5,10.0,1065.6,49,1,34
241.4,96.7,590.3,5,14.9,1066.4,49,0,34
244.6,38.8,590.5,5,6.5,1065.7,49,0,34
248.1,58.2,591.8,5,12.3,1066.5,49,0,34
251.3,73.3,593.1,5,14.2,1066.2,49,0,34
254.5,51.6,593.5,5,12.9,1066.3,49,0,34
257.7,37.1,594.3,5,9.0,1066.3,49,0,34
261.0,32.6,595.0,5,10.4,1066.9,49,0,34
264.2,32.3,595.7,5,3.5,1067.0,49,0,34
267.4,27.6,595.6,5,4.0,1067.6,49,0,34
270.7,87.0,596.9,5,11.2,1067.3,49,0,34
273.9,37.4,597.2,5,11.4,1067.6,49,0,34
277.1,54.1,598.6,5,11.0,1067.9,49,0,34
280.3,71.2,599.9,5,10.5,1068.4,49,0,34
283.5,31.7,600.9,5,7.0,1068.0,49,0,34
286.7,25.4,601.7,5,7.5,1068.5,49,0,34
289.9,34.8,602.4,5,6.8,1068.1,49,0,34
293.1,40.5,602.6,5,9.0,1068.4,49,0,34
296.3,37.0,602.9,5,7.5,1068.6,49,0,34
299.5,87.3,603.8,5,14.5,1068.5,49,0,34
302.7,111.2,605.4,5,21.0,1069.0,49,0,34
305.9,70.6,605.4,5,15.4,1069.4,49,0,34
309.1,84.6,605.5,5,16.9,1069.7,49,0,34
312.3,49.4,605.5,5,14.9,1069.4,49,0,34
315.6,48.4,605.8,5,12.8,1069.9,49,0,34
318.7,45.1,605.6,5,9.0,1069.7,49,1,34
321.9,47.8,605.7,5,17.5,1070.0,49,0,34
325.1,26.9,605.7,5,4.5,1070.3,49,0,34
328.3,28.5,605.8,5,10.5,1070.7,49,0,34
331.5,60.1,605.6,5,9.4,1070.5,49,0,34
334.8,28.2,605.6,5,8.9,1070.6,49,0,34
337.9,53.0,605.6,5,11.0,1070.8,49,0,34
341.1,30.4,605.5,5,11.0,1071.0,49,0,34
344.3,28.9,605.5,5,9.0,1070.2,49,0,34
347.5,19.0,605.5,5,4.0,1070.9,49,0,34
350.7,24.5,605.5,5,7.5,1070.8,49,0,34
353.9,23.5,605.5,5,6.0,1070.8,49,0,34
357.1,17.1,605.5,5,5.4,1070.8,49,0,34
360.3,27.2,605.5,5,4.0,1071.1,49,0,34
363.5,32.1,605.5,5,4.9,1071.4,49,0,34
366.8,25.8,606.0,5,1.5,1070.8,49,0,34
370.1,0.0,606.0,5,1.0,1070.8,49,0,34
373.3,1.0,606.0,5,1.5,1070.8,49,0,34
376.7,0.9,606.0,5,1.4,1070.8,49,0,34
379.8,0.0,606.0,5,0.0,1070.8,49,0,34
382.9,0.5,606.0,5,1.0,1070.8,49,0,34
