elapsed_s,backend_cpu_pct_total,backend_rss_mb_total,backend_process_count,postgres_total_cpu_pct,postgres_total_rss_mb,postgres_process_count,db_active_connections,db_total_connections
3.0,0.0,537.4,5,0.0,715.0,33,0,18
6.1,7.0,537.2,5,1.0,715.0,33,0,18
9.4,10.5,537.3,5,2.5,715.3,33,0,18
12.5,6.0,537.1,5,2.0,715.9,33,0,18
15.6,8.5,537.3,5,3.5,716.9,33,0,18
18.8,13.5,537.2,5,3.5,715.1,33,0,18
21.9,20.5,537.3,5,2.5,715.8,33,0,18
25.0,19.0,537.4,5,4.5,716.3,33,0,18
28.2,24.0,537.4,5,8.0,716.6,33,0,18
31.3,14.0,537.4,5,7.5,715.8,33,0,18
34.4,21.5,537.4,5,5.0,716.2,33,0,18
37.6,32.2,537.4,5,9.0,716.6,33,0,18
40.8,25.5,537.4,5,5.5,717.4,33,0,18
43.9,28.5,537.4,5,7.0,716.9,33,1,18
47.0,30.5,537.4,5,12.5,717.8,33,0,18
50.2,32.0,537.4,5,9.0,718.0,33,0,18
53.3,34.0,537.4,5,13.5,719.4,33,0,18
56.4,41.0,537.5,5,7.5,719.2,33,0,18
59.6,37.1,537.5,5,6.0,719.7,33,0,18
62.7,44.2,537.5,5,10.0,720.5,33,0,18
65.8,48.5,537.5,5,10.0,719.6,33,1,18
69.0,42.8,537.4,5,10.5,720.0,33,0,18
72.1,50.0,537.4,5,10.5,720.3,33,0,18
75.2,44.0,537.5,5,13.5,719.2,33,0,18
78.4,52.9,537.6,5,13.0,721.2,33,0,18
81.6,61.1,537.6,5,13.5,721.2,33,1,18
84.7,56.2,537.6,5,22.0,721.0,33,0,18
87.8,57.1,537.5,5,15.0,721.5,33,0,18
91.0,66.1,537.5,5,13.5,723.3,33,0,18
94.1,74.4,537.6,5,17.5,722.5,33,0,18
97.2,52.1,537.5,5,13.5,723.2,33,0,18
100.3,66.9,537.9,5,17.0,724.3,33,0,18
103.5,59.5,537.9,5,15.0,723.6,33,0,18
106.7,53.8,538.0,5,15.5,723.1,33,0,18
109.8,85.0,538.0,5,15.5,723.6,33,0,18
112.9,88.5,538.7,5,18.0,723.7,33,0,18
116.0,86.9,538.8,5,22.0,724.4,33,1,18
119.1,89.4,539.4,5,21.5,745.7,34,1,19
122.2,100.0,539.4,5,28.5,746.2,34,0,19
125.4,105.0,539.4,5,30.0,746.6,34,1,19
128.5,121.8,539.8,5,23.0,768.2,35,0,20
131.6,114.0,539.7,5,28.0,769.9,35,0,20
134.7,115.7,539.8,5,27.5,770.7,35,0,20
137.8,103.6,539.8,5,22.5,772.3,35,1,20
141.0,106.0,539.8,5,22.5,773.7,35,1,20
144.0,109.6,540.1,5,22.0,773.2,35,1,20
147.2,110.4,540.0,5,19.5,773.6,35,0,20
150.3,109.5,540.0,5,22.0,775.0,35,0,20
153.5,116.4,540.1,5,22.5,775.5,35,0,20
156.7,125.3,540.1,5,23.0,776.0,35,0,20
159.8,115.5,540.2,5,16.0,775.4,35,0,20
162.9,121.6,540.2,5,25.5,776.0,35,0,20
166.0,125.1,540.1,5,24.5,775.6,35,0,20
169.1,120.8,540.1,5,24.0,777.0,35,0,20
172.2,118.1,540.5,5,23.0,776.3,35,0,20
175.4,135.2,540.4,5,29.5,776.6,35,0,20
178.5,134.0,541.0,5,25.0,777.4,35,0,20
181.6,114.7,541.7,5,24.0,773.8,35,0,20
184.7,141.6,541.7,5,34.0,773.6,35,0,20
187.9,145.4,541.9,5,32.2,775.4,35,0,20
191.0,125.3,541.7,5,33.0,776.1,35,0,20
194.1,134.5,541.7,5,22.5,776.2,35,0,20
197.3,145.0,541.5,5,40.0,776.8,35,0,20
200.4,139.7,541.5,5,35.0,776.9,35,0,20
203.5,127.5,541.6,5,28.5,778.3,35,1,20
206.6,134.3,541.6,5,35.5,778.2,35,0,20
209.7,149.3,541.9,5,30.0,779.0,35,0,20
212.8,148.3,541.9,5,31.0,778.1,35,0,20
215.9,131.5,541.9,5,25.0,779.8,35,0,20
219.0,115.9,541.7,5,24.0,780.2,35,0,20
222.2,133.6,541.7,5,30.2,780.2,35,0,20
225.4,137.5,541.9,5,30.0,779.4,35,0,20
228.5,127.3,542.0,5,27.5,780.2,35,0,20
231.6,119.6,542.0,5,28.5,779.7,35,0,20
234.8,147.5,541.8,5,35.0,779.5,35,0,20
237.9,118.7,541.8,5,28.0,780.2,35,0,20
241.0,130.0,541.8,5,27.0,780.1,35,0,20
244.1,134.9,541.7,5,27.0,781.3,35,0,20
247.2,126.0,541.8,5,25.5,779.9,35,0,20
250.3,143.3,541.9,5,32.0,780.8,35,0,20
253.4,147.3,542.0,5,32.5,801.3,36,0,20
256.6,122.4,542.1,5,33.5,779.4,35,0,20
259.7,132.8,542.1,5,34.5,779.7,35,0,20
262.8,148.3,542.1,5,37.5,780.7,35,1,20
266.0,131.2,541.9,5,29.0,780.2,35,0,20
269.1,116.7,541.7,5,28.5,780.9,35,1,20
272.2,138.3,541.8,5,28.5,781.8,35,0,20
275.3,17.0,542.3,5,3.0,782.2,35,0,20
278.4,1.5,542.3,5,0.0,782.2,35,0,20
281.6,1.0,542.3,5,0.5,782.2,35,0,20
