Method,Name,Error,Occurrences,First Seen,Last Seen
GET,/api/v1/qr/menu [mixed:pre-order],CatchResponseError('menu load failed: 0'),3,2026-08-12T23:37:17Z,2026-08-12T23:37:48Z
GET,/api/v1/qr/menu [isolation-control:b],CatchResponseError('menu load failed: 0'),7,2026-08-12T23:37:05Z,2026-08-12T23:37:45Z
GET,/api/v1/qr/menu [mixed:browse],CatchResponseError('menu load failed: 0'),5,2026-08-12T23:37:22Z,2026-08-12T23:37:37Z
GET,/api/v1/qr/orders/{id} [mixed:poll],CatchResponseError('status poll failed: 500'),3,2026-08-12T23:38:22Z,2026-08-12T23:39:22Z
GET,/api/v1/qr/menu [mixed:browse],CatchResponseError('menu load failed: 500'),25,2026-08-12T23:38:22Z,2026-08-12T23:39:22Z
GET,/api/v1/qr/orders/{id} [mixed:poll],CatchResponseError('status poll failed: 0'),1,2026-08-12T23:37:28Z,2026-08-12T23:37:28Z
GET,/api/v1/qr/menu [mixed:poll-fallback],CatchResponseError('menu load failed: 500'),11,2026-08-12T23:38:52Z,2026-08-12T23:39:22Z
POST,/api/v1/qr/orders [mixed:POST],CatchResponseError('order placement failed: 500: Internal Server Error'),4,2026-08-12T23:38:22Z,2026-08-12T23:38:52Z
GET,/api/v1/qr/menu [mixed:pre-order],CatchResponseError('menu load failed: 500'),6,2026-08-12T23:38:22Z,2026-08-12T23:38:52Z
POST,/api/v1/qr/orders [mixed:POST],CatchResponseError('order placement failed: 0: '),2,2026-08-12T23:38:22Z,2026-08-12T23:38:22Z
GET,/api/v1/qr/menu [isolation-control:b],CatchResponseError('menu load failed: 500'),44,2026-08-12T23:38:22Z,2026-08-12T23:39:22Z
