elapsed_s,backend_cpu_pct,backend_rss_mb,postgres_total_cpu_pct,postgres_total_rss_mb,postgres_process_count,db_active_connections,db_total_connections
3.0,0.0,117.8,0.0,281.9,15,0,0
6.3,5.7,123.8,0.5,323.3,17,0,2
9.5,8.5,125.3,2.0,325.1,17,0,2
12.6,10.9,126.2,3.0,325.4,17,0,2
15.7,8.5,127.2,2.5,327.2,17,0,2
18.9,9.5,128.1,1.5,327.5,17,0,2
22.0,19.5,128.1,6.5,328.1,17,0,2
25.2,19.7,130.1,5.3,369.6,19,0,4
28.4,20.5,130.9,9.5,413.2,21,0,6
31.5,31.0,131.8,5.0,415.1,21,0,6
34.6,25.2,132.4,10.0,416.9,21,0,6
37.8,32.5,132.7,4.5,416.9,21,0,6
40.9,33.2,134.4,6.0,457.9,23,0,8
44.0,34.7,134.5,7.5,459.6,23,0,8
47.1,29.4,134.9,6.0,459.8,23,0,8
50.3,42.2,135.3,13.0,460.0,23,0,8
53.4,39.5,135.5,9.5,460.4,23,0,8
56.6,38.7,136.3,8.0,460.4,23,0,8
59.7,38.0,136.6,7.5,460.5,23,0,8
62.8,49.5,136.6,13.5,460.6,23,0,8
65.9,52.3,137.7,12.0,481.6,24,0,9
69.1,52.2,138.5,11.1,485.2,24,0,9
72.3,48.7,139.2,9.5,488.2,24,0,9
75.4,53.7,139.4,11.5,488.9,24,0,9
78.5,60.5,140.3,10.0,510.1,25,0,10
81.8,52.9,140.5,16.8,510.5,25,0,10
84.9,66.2,141.3,16.0,510.5,25,0,10
88.1,57.9,142.0,18.5,507.3,25,0,10
91.2,72.5,142.1,15.0,507.7,25,0,10
94.3,66.2,142.9,11.0,508.2,25,0,10
97.4,69.0,142.7,17.5,508.9,25,0,10
100.6,91.4,144.1,17.0,501.3,25,0,10
103.7,83.5,145.1,20.5,501.2,25,0,10
106.8,69.9,145.8,20.0,604.9,30,0,15
109.9,104.5,146.1,18.0,538.0,27,0,10
113.0,86.9,147.0,16.0,495.5,25,1,10
116.1,89.4,147.0,10.0,494.1,25,1,10
119.3,101.0,149.9,14.4,828.4,42,1,27
122.4,102.0,150.7,8.0,512.7,26,0,11
125.5,109.6,153.5,18.5,862.2,43,0,28
128.6,100.5,153.7,14.5,498.3,25,2,10
131.8,108.5,155.6,17.5,927.0,45,0,30
134.9,107.0,157.4,26.5,936.5,45,0,30
138.0,109.5,159.9,19.5,937.5,45,0,30
141.1,114.0,160.3,25.5,939.3,45,2,30
144.2,114.6,161.5,28.5,940.7,45,1,30
147.3,108.5,161.9,21.0,941.7,45,0,30
150.5,109.5,162.2,22.0,943.4,45,0,30
153.6,111.1,163.4,29.0,943.6,45,0,30
156.7,111.0,164.0,20.0,943.8,45,1,30
159.8,111.6,164.1,17.0,943.2,45,0,30
163.0,11.9,171.8,2.5,943.0,45,0,30
166.1,1.5,179.0,0.5,943.0,45,0,30
169.2,3.0,186.7,0.5,943.0,45,0,30
172.4,0.0,188.5,0.0,943.0,45,0,30
175.5,0.5,189.7,0.5,943.0,45,0,30
178.6,0.5,190.5,1.0,943.0,45,0,30
181.7,0.0,191.2,0.0,943.0,45,0,30
184.9,0.0,192.0,0.0,943.0,45,0,30
188.0,0.0,192.0,0.0,943.0,45,0,30
191.1,24.0,190.4,2.5,945.3,45,0,30
194.3,0.0,190.5,0.0,945.3,45,0,30
197.4,0.0,190.9,0.5,945.2,45,0,30
200.5,1.0,192.0,0.5,945.2,45,0,30
203.7,0.0,192.1,0.5,945.2,45,0,30
206.8,0.0,192.1,0.0,945.2,45,0,30
210.0,0.0,192.1,0.0,945.3,45,0,30
213.1,0.0,192.1,0.0,945.3,45,0,30
216.2,0.0,192.1,0.0,945.3,45,0,30
219.3,0.0,192.1,0.5,945.3,45,0,30
222.4,5.5,192.7,0.5,945.2,45,0,30
225.6,0.0,193.0,0.5,945.2,45,0,30
228.7,2.5,194.3,0.0,945.3,45,0,30
231.8,1.0,195.3,0.0,945.3,45,0,30
235.0,0.0,195.3,0.0,945.3,45,0,30
238.1,0.0,195.3,1.0,945.3,45,0,30
241.4,0.0,195.3,0.0,945.3,45,0,30
244.5,0.0,195.3,0.0,945.3,45,0,30
247.6,0.0,195.3,0.5,945.3,45,0,30
250.8,5.0,195.8,0.5,945.3,45,0,30
253.9,0.5,196.0,0.0,945.3,45,0,30
257.0,0.5,197.7,0.0,945.2,45,0,30
260.2,5.0,192.5,0.5,945.1,45,0,30
263.3,0.0,192.8,0.0,945.0,45,0,30
266.4,0.0,192.8,0.5,945.0,45,0,30
269.7,0.0,192.8,0.0,945.0,45,0,30
272.8,1.0,192.8,0.5,945.0,45,0,30
275.9,0.0,192.8,0.0,945.0,45,0,30
279.1,0.5,192.8,0.5,945.0,45,0,30
282.3,3.0,192.7,0.0,945.0,45,0,30
