elapsed_s,backend_cpu_pct_total,backend_rss_mb_total,backend_process_count,postgres_total_cpu_pct,postgres_total_rss_mb,postgres_process_count,db_active_connections,db_total_connections
3.0,1.0,563.4,5,0.0,722.8,35,0,20
6.1,2.0,563.4,5,0.5,722.8,35,0,20
9.3,0.0,563.4,5,0.5,722.8,35,0,20
12.4,0.5,563.4,5,0.0,722.8,35,0,20
15.6,2.0,563.4,5,0.0,722.8,35,0,20
18.7,2.0,563.4,5,0.0,722.8,35,0,20
21.9,1.0,563.4,5,1.0,722.8,35,0,20
25.0,0.5,563.4,5,0.5,722.8,35,0,20
28.1,1.5,563.4,5,0.5,722.8,35,0,20
31.2,0.0,563.4,5,0.5,722.8,35,0,20
34.3,0.0,563.4,5,0.0,722.8,35,0,20
37.6,0.5,563.4,5,0.0,722.8,35,0,20
40.7,1.0,563.4,5,0.5,722.8,35,0,20
43.8,2.5,563.4,5,0.5,722.8,35,0,20
47.0,0.0,563.4,5,0.0,722.8,35,0,20
50.1,1.0,563.4,5,0.0,722.8,35,0,20
53.3,0.0,563.4,5,0.5,740.3,36,0,20
56.4,0.5,563.4,5,0.0,722.8,35,0,20
59.5,0.0,563.4,5,0.5,722.9,35,0,20
62.7,0.0,563.4,5,0.5,722.9,35,0,20
65.8,0.5,563.4,5,0.0,723.0,35,0,20
68.9,2.0,563.4,5,1.0,724.3,35,0,20
72.1,0.5,563.4,5,0.0,724.7,35,0,20
75.2,0.5,563.4,5,0.0,725.1,35,0,20
78.3,1.0,563.4,5,0.0,725.1,35,0,20
81.5,0.5,563.4,5,0.0,725.1,35,0,20
84.7,1.5,563.4,5,0.0,725.1,35,0,20
87.8,1.0,563.4,5,0.0,725.1,35,0,20
90.9,1.5,563.4,5,0.5,725.1,35,0,20
94.1,1.0,563.4,5,0.0,725.1,35,0,20
97.2,0.5,563.4,5,0.5,725.1,35,0,20
100.4,0.5,563.4,5,0.0,725.1,35,0,20
103.5,0.5,563.4,5,1.0,725.1,35,0,20
106.7,1.0,563.4,5,0.5,725.1,35,0,20
109.8,0.0,563.4,5,0.0,725.1,35,0,20
113.0,0.0,563.4,5,0.5,725.1,35,0,20
116.1,0.5,563.4,5,0.5,725.1,35,0,20
119.2,1.5,563.4,5,0.5,725.0,35,0,20
122.4,3.5,563.4,5,0.0,725.0,35,0,20
125.5,1.0,563.4,5,0.5,725.0,35,0,20
128.6,1.0,563.4,5,0.5,725.0,35,0,20
132.0,0.5,563.4,5,0.0,725.0,35,0,20
135.1,1.5,563.4,5,0.5,725.0,35,0,20
138.2,0.0,563.4,5,0.0,725.0,35,0,20
141.4,0.5,563.4,5,0.5,725.0,35,0,20
144.5,0.5,563.4,5,0.0,725.0,35,0,20
147.7,0.0,563.4,5,0.0,725.0,35,0,20
150.8,0.0,563.4,5,0.5,725.0,35,0,20
154.0,0.0,563.4,5,0.5,725.0,35,0,20
157.1,1.5,563.4,5,0.0,725.0,35,0,20
160.3,1.5,563.4,5,0.0,725.0,35,0,20
163.4,0.0,563.4,5,0.5,725.0,35,0,20
166.5,1.5,563.4,5,0.5,724.9,35,0,20
169.7,0.5,563.4,5,0.0,724.8,35,0,20
172.8,0.5,563.4,5,0.0,724.6,35,0,20
176.0,1.0,563.4,5,1.5,724.5,35,0,20
179.2,3.0,563.4,5,1.0,724.5,35,0,20
182.4,0.0,563.4,5,0.0,724.5,35,0,20
185.5,0.0,563.4,5,0.5,724.5,35,0,20
188.7,0.5,563.4,5,0.5,724.5,35,0,20
191.8,0.0,563.4,5,0.5,724.5,35,0,20
194.9,0.0,563.4,5,0.0,724.5,35,0,20
198.1,0.0,563.4,5,1.0,724.5,35,0,20
201.3,0.5,563.4,5,0.0,724.5,35,0,20
204.4,0.5,563.4,5,0.0,724.5,35,0,20
207.7,1.0,563.4,5,1.0,724.5,35,0,20
210.8,1.0,563.4,5,0.5,724.5,35,0,20
213.9,1.0,563.4,5,0.5,724.5,35,0,20
217.1,0.5,563.4,5,0.5,724.5,35,0,20
220.2,0.0,563.4,5,0.0,724.5,35,0,20
223.3,0.0,563.4,5,1.5,724.5,35,0,20
