elapsed_s,backend_cpu_pct_total,backend_rss_mb_total,backend_process_count,postgres_total_cpu_pct,postgres_total_rss_mb,postgres_process_count,db_active_connections,db_total_connections
3.0,0.0,522.5,5,0.5,295.3,15,0,0
6.1,1.5,522.5,5,0.0,295.3,15,0,0
9.2,16.0,545.4,5,1.5,440.7,22,0,7
12.3,13.6,546.9,5,8.0,502.1,25,0,10
15.5,23.9,548.0,5,4.9,526.9,26,0,11
18.8,23.2,548.5,5,8.2,550.5,27,0,12
22.0,37.1,549.2,5,5.9,554.8,27,0,12
25.2,47.6,549.3,5,16.4,563.1,27,0,12
28.6,41.4,549.8,5,7.1,585.7,28,0,13
31.8,46.4,549.8,5,10.2,587.3,28,0,13
35.0,50.0,549.9,5,13.2,589.9,28,0,13
38.3,43.5,549.9,5,11.7,591.8,28,0,13
41.7,55.2,550.4,5,15.3,614.9,29,0,14
44.9,61.8,550.5,5,19.2,639.0,30,0,15
48.1,50.2,550.8,5,11.8,660.1,31,0,16
51.4,70.4,550.9,5,14.9,661.8,31,0,16
54.6,68.1,551.2,5,23.1,683.7,32,1,17
58.0,74.4,551.8,5,13.5,685.2,32,0,17
61.2,73.4,551.9,5,11.8,685.5,32,0,17
64.5,80.2,552.1,5,18.7,696.0,33,0,18
67.7,85.1,553.5,5,15.6,729.1,34,0,19
70.9,88.0,553.5,5,14.8,732.9,34,1,19
74.0,63.7,554.5,5,13.5,736.2,34,0,19
77.4,116.9,554.5,5,23.0,742.3,34,0,19
80.8,134.4,555.1,5,29.4,745.9,34,0,19
84.1,119.5,555.7,5,25.6,743.8,34,0,19
87.3,122.3,555.8,5,29.9,747.4,34,0,19
90.6,106.2,556.1,5,17.5,747.8,34,0,19
94.0,109.3,555.9,5,17.2,748.0,34,1,19
97.2,124.7,556.0,5,30.7,748.7,34,0,19
100.5,122.1,556.0,5,19.0,749.4,34,1,19
103.6,52.5,556.0,5,10.0,749.6,34,0,19
106.7,115.0,556.0,5,24.5,750.2,34,0,19
109.8,110.5,556.0,5,21.0,750.5,34,0,20
113.5,143.3,556.3,5,24.6,771.6,35,0,20
116.8,134.6,556.4,5,24.5,771.9,35,0,20
120.1,161.4,556.4,5,20.6,772.6,35,0,20
123.5,142.0,557.7,5,34.3,777.1,36,0,20
127.1,154.5,558.6,5,33.2,766.5,36,0,20
131.4,165.0,561.0,5,36.7,776.8,36,1,20
136.0,176.2,562.9,5,42.2,763.4,36,0,20
140.6,169.5,565.2,5,45.8,768.6,37,0,20
144.7,149.0,564.8,5,29.6,746.5,35,0,20
148.1,143.9,565.2,5,39.0,779.8,38,0,20
151.5,147.3,565.4,5,37.1,777.7,38,0,20
156.9,149.6,565.5,5,40.6,726.0,35,0,20
160.2,174.2,568.4,5,36.2,720.9,35,0,20
163.5,135.5,567.8,5,26.4,723.5,35,0,20
167.8,149.5,569.1,5,37.1,720.0,35,0,20
171.1,173.4,568.1,5,31.1,759.2,38,0,20
177.3,139.9,567.8,5,30.9,712.5,35,0,20
180.6,173.2,568.3,5,44.2,738.0,37,0,20
185.3,143.4,567.9,5,35.3,752.9,37,0,27
190.0,133.5,574.3,5,31.9,854.9,42,0,27
193.4,150.9,577.5,5,29.5,853.8,42,0,27
196.6,151.7,576.8,5,31.0,866.4,42,0,27
200.1,130.0,578.8,5,27.0,872.0,42,0,27
203.4,111.9,579.2,5,16.6,876.1,42,0,27
206.7,110.0,580.2,5,19.2,879.2,42,0,27
210.0,131.3,580.5,5,25.3,875.6,42,0,27
213.2,101.5,580.5,5,17.8,876.8,42,0,27
216.4,111.0,580.5,5,20.1,877.1,42,0,27
219.7,116.9,580.3,5,17.9,881.5,43,0,27
223.1,117.4,580.4,5,23.0,869.9,42,1,27
226.4,134.3,580.4,5,27.8,871.0,42,1,27
229.7,138.0,580.3,5,24.1,871.9,42,1,27
233.1,133.2,580.3,5,19.1,869.2,42,0,27
236.5,135.2,580.6,5,24.5,867.8,42,0,27
239.7,143.3,580.6,5,22.5,903.7,44,0,31
243.5,114.1,581.5,5,31.5,910.7,45,1,27
248.3,126.8,582.0,5,36.9,932.3,46,0,40
253.0,106.6,590.0,5,18.7,992.6,49,0,34
258.5,87.1,593.3,5,23.4,1008.4,49,1,34
261.8,74.0,590.4,5,17.8,1012.1,49,0,34
265.1,75.7,591.6,5,16.0,1010.4,49,0,34
268.3,45.1,592.3,5,15.4,1011.9,49,0,34
271.5,43.2,593.2,5,7.7,1012.3,49,0,34
274.7,51.7,593.8,5,10.7,1012.4,49,0,34
280.1,53.8,599.6,5,7.7,1015.1,49,0,34
283.4,43.5,599.8,5,5.5,1015.1,49,1,34
286.6,46.1,600.0,5,9.5,1015.3,49,0,34
289.8,47.8,600.3,5,8.0,1015.5,49,0,34
293.0,45.6,600.3,5,13.0,1015.6,49,0,34
296.2,60.2,600.5,5,14.7,1015.7,49,0,34
299.4,67.5,600.5,5,9.3,1015.9,49,0,34
302.7,63.3,600.5,5,11.7,1016.1,49,0,34
305.9,84.7,600.5,5,12.1,1016.3,49,0,34
309.2,73.9,600.7,5,12.5,1024.3,50,0,34
313.0,92.6,601.2,5,15.6,1010.4,49,0,34
316.2,92.3,601.2,5,20.1,1014.3,49,0,34
319.5,96.2,601.0,5,29.6,1018.7,49,0,34
322.8,114.8,600.8,5,14.7,1020.7,49,0,34
326.1,99.5,601.8,5,23.2,1105.4,54,0,35
329.9,108.1,602.1,5,18.5,1001.7,49,0,34
333.1,106.8,602.1,5,20.5,1004.3,49,0,34
336.4,108.5,601.2,5,21.6,1011.2,50,0,34
340.1,110.9,603.1,5,26.1,1062.7,52,1,37
344.4,127.5,603.1,5,27.4,996.4,50,0,34
347.7,131.5,603.2,5,10.7,988.7,49,0,34
350.9,118.5,602.6,5,16.7,989.2,49,0,34
354.4,122.6,603.2,5,23.6,1054.1,53,0,34
359.1,124.6,603.3,5,28.0,1048.2,53,0,41
362.8,148.1,603.7,5,21.7,987.8,49,0,34
366.1,124.1,603.7,5,30.2,1016.1,51,1,34
371.1,152.1,611.1,5,30.3,1282.8,63,0,48
374.4,170.0,611.8,5,18.1,992.3,49,1,35
377.7,169.2,611.8,5,42.9,1291.8,63,0,48
381.1,115.0,610.7,5,12.2,1061.1,52,0,36
384.2,72.5,609.8,5,8.5,1004.0,49,0,35
388.0,106.9,609.6,5,21.9,1056.4,53,0,34
393.0,135.6,609.3,5,28.8,1149.5,58,0,48
397.7,102.7,614.7,5,16.6,1126.0,56,0,41
401.3,71.4,617.2,5,10.0,1126.6,56,0,41
404.5,65.8,618.5,5,5.4,1127.1,56,0,41
407.8,53.7,618.0,5,11.5,1128.0,56,0,41
411.1,54.3,619.2,5,15.3,1127.4,56,0,41
414.5,56.9,619.2,5,12.5,1128.8,56,0,41
417.7,63.8,619.1,5,19.9,1127.1,56,0,41
420.9,53.9,619.1,5,9.3,1127.4,56,0,41
424.2,82.6,619.2,5,17.0,1133.2,57,0,41
427.4,74.2,619.2,5,12.5,1127.3,56,0,41
430.7,90.1,619.5,5,22.1,1126.7,56,0,41
434.1,79.5,619.5,5,13.4,1144.4,57,0,41
437.5,91.2,620.3,5,16.3,1272.8,63,0,48
440.8,92.4,621.4,5,26.6,1294.0,63,0,48
444.1,106.1,621.5,5,16.8,1296.3,63,0,45
447.4,94.7,621.6,5,16.3,1125.7,56,0,44
450.8,90.5,621.6,5,16.4,1265.6,63,0,46
454.2,90.6,621.5,5,21.2,1271.9,63,0,48
457.4,15.3,622.5,5,1.4,1271.9,63,0,48
460.7,10.4,624.3,5,1.9,1271.9,63,0,48
464.1,5.6,626.1,5,1.0,1272.0,63,0,48
467.5,3.7,626.6,5,1.4,1272.2,63,0,48
470.7,2.9,627.2,5,2.9,1272.3,63,0,48
474.0,7.3,627.3,5,1.5,1272.4,63,0,48
477.1,2.0,627.8,5,1.0,1272.5,63,0,48
480.3,1.9,628.1,5,1.5,1272.0,63,0,48
483.5,6.8,631.4,5,2.9,1271.6,63,0,48
486.7,24.3,633.9,5,3.0,1272.2,63,0,48
490.0,2.4,633.9,5,1.4,1272.5,63,0,48
493.3,6.3,634.1,5,2.4,1272.6,63,0,48
496.5,2.4,634.1,5,2.0,1272.7,63,0,48
499.7,0.5,634.1,5,1.0,1272.7,63,0,48
502.9,0.5,634.1,5,0.5,1272.7,63,0,48
506.1,2.5,634.1,5,1.0,1272.7,63,0,48
509.3,1.5,634.1,5,1.5,1272.7,63,0,48
512.5,2.5,634.1,5,1.0,1272.7,63,0,48
515.8,13.8,634.2,5,1.0,1272.7,63,0,48
519.0,0.5,634.2,5,1.5,1272.7,63,0,48
522.3,3.9,634.5,5,2.4,1272.7,63,0,48
525.5,2.9,634.7,5,1.5,1272.7,63,0,48
528.7,2.0,634.8,5,1.5,1272.7,63,0,48
531.9,2.0,634.8,5,2.9,1272.7,63,0,48
535.1,2.5,634.8,5,1.5,1272.7,63,0,48
538.3,2.0,634.8,5,1.0,1272.7,63,0,48
541.6,0.5,634.8,5,0.5,1272.8,63,0,48
544.8,15.1,634.9,5,2.4,1272.9,63,0,48
548.0,0.5,634.9,5,1.0,1273.1,63,0,48
551.2,3.4,635.1,5,1.0,1273.8,63,0,48
554.4,5.4,635.6,5,1.0,1273.8,63,0,48
557.6,2.4,635.7,5,2.5,1273.8,63,0,48
560.8,1.0,635.7,5,1.0,1273.8,63,0,48
564.0,2.9,635.7,5,1.0,1270.3,63,0,48
567.3,12.0,636.0,5,1.9,1270.3,63,0,48
570.7,0.5,636.0,5,2.3,1270.3,63,0,48
573.9,1.5,588.8,5,1.0,1270.3,63,0,48
577.1,12.6,589.3,5,1.0,1270.3,63,0,48
580.3,0.5,589.3,5,1.5,1270.2,63,0,48
