Method,Name,Error,Occurrences,First Seen,Last Seen
GET,/api/v1/qr/menu [mixed:pre-order],CatchResponseError('menu load failed: 0'),6,2026-08-13T15:36:08Z,2026-08-13T15:37:11Z
GET,/api/v1/qr/menu [isolation-control:b],CatchResponseError('menu load failed: 0'),16,2026-08-13T15:33:21Z,2026-08-13T15:37:10Z
GET,/api/v1/qr/menu [mixed:browse],CatchResponseError('menu load failed: 0'),19,2026-08-13T15:33:00Z,2026-08-13T15:37:11Z
GET,/api/v1/qr/orders/{id} [mixed:poll],CatchResponseError('status poll failed: 500'),1,2026-08-13T15:37:41Z,2026-08-13T15:37:41Z
GET,/api/v1/qr/menu [mixed:browse],CatchResponseError('menu load failed: 500'),11,2026-08-13T15:37:41Z,2026-08-13T15:37:41Z
GET,/api/v1/qr/orders/{id} [mixed:poll],CatchResponseError('status poll failed: 0'),7,2026-08-13T15:35:52Z,2026-08-13T15:37:04Z
GET,/api/v1/qr/menu [mixed:poll-fallback],CatchResponseError('menu load failed: 500'),4,2026-08-13T15:37:41Z,2026-08-13T15:37:41Z
GET,/api/v1/qr/menu [mixed:pre-order],CatchResponseError('menu load failed: 500'),1,2026-08-13T15:37:41Z,2026-08-13T15:37:41Z
GET,/api/v1/qr/menu [mixed:poll-fallback],CatchResponseError('menu load failed: 0'),5,2026-08-13T15:35:51Z,2026-08-13T15:36:56Z
POST,/api/v1/qr/orders [mixed:POST],CatchResponseError('order placement failed: 0: '),1,2026-08-13T15:37:41Z,2026-08-13T15:37:41Z
GET,/api/v1/qr/menu [isolation-control:b],CatchResponseError('menu load failed: 500'),13,2026-08-13T15:37:41Z,2026-08-13T15:37:41Z
