elapsed_s,backend_cpu_pct_total,backend_rss_mb_total,backend_process_count,postgres_total_cpu_pct,postgres_total_rss_mb,postgres_process_count,db_active_connections,db_total_connections
3.0,0.0,566.8,5,0.0,1069.5,47,0,32
6.2,2.5,565.9,5,0.0,1069.9,47,0,32
9.3,3.0,565.8,5,1.0,1070.6,47,0,32
12.4,6.5,566.0,5,1.5,1072.0,47,0,32
15.5,4.0,566.3,5,0.0,1072.2,47,0,32
18.7,4.0,566.4,5,1.0,1073.1,47,0,32
21.9,6.5,566.4,5,1.5,1074.3,47,0,32
25.0,6.5,566.4,5,0.5,1074.7,47,0,32
28.1,4.0,566.4,5,1.0,1075.4,47,0,32
31.2,14.0,566.4,5,2.0,1076.6,47,0,32
34.3,12.0,566.5,5,1.0,1077.7,47,0,32
37.4,10.0,566.6,5,4.5,1078.9,47,0,32
40.6,10.0,566.6,5,2.5,1080.4,47,0,32
43.7,13.5,566.7,5,3.0,1080.8,47,0,32
46.8,10.0,566.7,5,1.5,1082.3,47,0,32
49.9,14.5,566.7,5,5.5,1084.3,47,0,32
53.0,12.0,566.8,5,3.0,1085.0,47,0,32
56.1,12.0,566.8,5,2.5,1086.1,47,0,32
59.3,19.5,566.7,5,4.0,1086.5,47,0,32
62.4,16.5,566.7,5,4.0,1087.6,47,0,32
65.5,14.0,566.8,5,2.5,1088.7,47,0,32
68.6,19.0,566.8,5,3.5,1089.5,47,0,32
71.7,19.5,566.9,5,3.0,1090.2,47,0,32
74.8,26.0,566.9,5,5.5,1091.5,47,0,32
78.0,16.0,567.0,5,3.0,1092.9,47,0,32
81.1,26.0,567.1,5,3.5,1094.3,47,0,32
84.2,25.0,567.2,5,6.0,1095.3,47,0,32
87.4,29.0,567.2,5,6.0,1096.9,47,0,32
90.5,25.1,567.1,5,4.5,1098.0,47,0,32
93.6,23.5,567.3,5,11.5,1098.8,47,0,32
96.7,25.0,567.3,5,7.0,1099.7,47,0,32
99.8,27.0,567.4,5,6.0,1100.3,47,0,32
103.0,26.5,567.2,5,7.0,1100.8,47,0,32
106.1,30.1,567.3,5,8.0,1101.5,47,0,32
109.2,35.0,567.3,5,6.0,1102.2,47,0,32
112.3,26.5,567.4,5,8.0,1102.4,47,0,32
115.4,26.0,567.4,5,5.0,1102.6,47,0,32
118.5,39.5,567.5,5,4.0,1102.9,47,0,32
121.7,26.0,567.5,5,8.5,1103.1,47,0,32
124.9,32.8,567.6,5,6.5,1103.3,47,0,32
128.0,30.1,567.6,5,10.0,1105.2,47,0,32
131.2,42.0,567.6,5,5.0,1105.8,47,0,32
