elapsed_s,backend_cpu_pct_total,backend_rss_mb_total,backend_process_count,postgres_total_cpu_pct,postgres_total_rss_mb,postgres_process_count,db_active_connections,db_total_connections
3.0,1.0,528.1,5,0.5,288.7,15,0,0
6.1,10.0,547.0,5,2.0,389.5,20,0,5
9.2,3.5,549.2,5,1.0,453.6,23,0,8
12.4,5.5,549.7,5,0.0,494.3,25,1,10
15.5,8.5,551.1,5,3.0,499.8,25,0,10
18.6,4.5,551.5,5,1.0,502.1,25,0,10
21.8,10.9,552.4,5,4.0,528.9,26,0,11
24.9,9.0,552.8,5,2.5,554.2,27,0,12
28.0,10.5,553.0,5,1.5,555.7,27,0,12
31.1,11.0,553.5,5,2.0,558.7,27,0,12
34.4,14.0,553.7,5,3.0,581.6,28,0,13
37.5,11.5,554.0,5,2.5,582.4,28,0,13
40.6,15.0,554.2,5,3.5,584.8,28,0,13
43.8,16.6,554.1,5,4.0,586.5,28,0,13
47.0,21.0,554.5,5,3.0,590.2,28,0,13
50.1,14.5,554.7,5,4.0,591.1,28,0,13
53.2,17.1,554.7,5,3.5,591.9,28,0,13
56.4,16.7,555.1,5,4.0,593.1,28,0,13
59.5,17.5,555.1,5,1.5,593.4,28,0,13
62.6,12.0,555.3,5,2.0,593.6,28,0,13
65.7,19.5,555.6,5,5.0,594.5,28,0,13
68.9,30.6,555.7,5,3.0,594.9,28,0,13
72.0,12.5,556.0,5,3.0,595.5,28,0,13
75.1,17.0,556.0,5,3.5,596.8,28,0,13
78.2,16.0,556.4,5,6.5,598.3,28,0,13
81.3,29.6,556.5,5,6.0,600.0,28,0,13
84.5,15.5,556.6,5,4.0,621.7,29,0,14
87.6,24.5,556.6,5,6.5,622.9,29,0,14
90.7,23.0,557.1,5,4.0,623.9,29,0,14
93.8,21.0,557.1,5,3.5,647.5,30,0,15
96.9,31.0,557.3,5,9.0,647.6,30,0,15
100.0,31.0,557.4,5,5.0,648.2,30,0,15
103.2,25.0,557.5,5,6.5,648.9,30,0,15
106.3,29.0,557.6,5,5.0,649.2,30,0,15
109.4,23.0,557.9,5,4.5,649.4,30,0,15
112.6,35.5,557.9,5,4.0,649.6,30,0,15
115.7,30.5,558.0,5,3.5,649.9,30,0,15
118.9,35.3,557.9,5,7.0,650.3,30,0,15
