elapsed_s,backend_cpu_pct_total,backend_rss_mb_total,backend_process_count,postgres_total_cpu_pct,postgres_total_rss_mb,postgres_process_count,db_active_connections,db_total_connections
3.0,1.0,567.1,5,0.0,784.2,35,0,20
6.1,3.0,566.5,5,0.5,784.9,35,0,20
9.3,1.5,566.2,5,3.0,786.2,35,0,20
12.5,4.5,566.5,5,0.0,787.5,35,0,20
15.6,5.0,566.6,5,2.5,789.2,35,0,20
18.8,4.0,568.4,5,2.5,795.1,35,0,20
21.9,7.5,569.2,5,0.5,795.6,35,0,20
25.1,7.5,569.4,5,5.0,799.5,35,0,20
28.2,9.5,569.5,5,4.5,800.9,35,0,20
31.3,13.5,569.6,5,4.5,801.5,35,0,20
34.5,6.0,569.7,5,2.5,802.6,35,0,20
37.7,11.2,569.7,5,2.5,803.0,35,0,20
40.8,15.0,569.8,5,3.0,804.3,35,0,20
43.9,23.0,569.9,5,4.5,804.8,35,0,20
47.1,11.5,570.1,5,4.0,805.8,35,0,20
50.2,16.5,570.1,5,6.5,806.5,35,0,20
53.3,26.0,570.1,5,8.5,806.8,35,0,20
56.5,18.5,570.0,5,3.5,806.8,35,0,20
59.6,19.0,570.1,5,4.0,807.0,35,0,20
62.7,24.0,570.2,5,6.5,807.3,35,0,20
65.9,31.0,570.3,5,5.5,808.3,35,0,20
69.0,23.5,570.4,5,1.5,808.7,35,0,20
72.1,26.0,570.4,5,9.5,809.7,35,0,20
75.2,22.0,570.5,5,3.0,810.4,35,0,20
78.4,31.0,570.5,5,7.5,811.9,35,0,20
81.5,35.0,570.5,5,4.0,812.3,35,0,20
84.6,32.0,570.6,5,2.0,812.6,35,0,20
87.9,36.0,570.7,5,6.0,823.1,36,0,20
91.0,21.5,570.7,5,5.0,813.6,35,0,20
94.2,31.5,570.7,5,6.5,813.9,35,0,20
97.3,30.5,570.7,5,5.5,814.4,35,0,20
100.5,38.4,570.9,5,12.5,814.7,35,0,20
103.6,34.9,571.0,5,5.5,815.5,35,0,20
106.8,27.0,571.1,5,6.5,815.7,35,0,20
109.9,35.0,571.0,5,6.0,815.9,35,0,20
113.0,39.5,571.0,5,9.0,816.0,35,0,20
116.1,35.0,571.1,5,7.0,816.2,35,0,20
119.2,41.5,571.2,5,6.0,816.3,35,0,20
122.4,40.7,571.4,5,6.0,816.8,35,0,20
125.5,60.9,571.3,5,7.5,816.7,35,0,20
128.6,39.4,571.4,5,8.5,817.2,35,0,20
131.7,51.5,571.4,5,10.5,818.8,35,0,20
134.9,50.5,571.3,5,13.5,820.3,35,0,20
138.0,58.9,571.3,5,9.5,821.1,35,0,20
141.2,51.5,571.3,5,8.0,821.5,35,1,20
144.3,34.0,571.6,5,7.5,817.6,35,0,20
147.4,40.8,571.6,5,9.5,817.9,35,0,20
150.5,51.3,571.7,5,6.5,818.1,35,0,20
153.7,46.5,571.5,5,8.0,818.5,35,0,20
156.8,73.0,571.6,5,12.0,819.6,35,0,20
159.9,59.5,571.5,5,12.0,819.6,35,0,20
163.0,64.4,571.7,5,10.5,820.1,35,0,20
166.1,59.5,571.8,5,6.5,820.3,35,0,20
169.3,75.1,571.9,5,16.0,820.4,35,0,20
172.4,63.0,571.8,5,10.0,820.5,35,0,20
175.5,62.4,572.0,5,9.5,820.6,35,0,20
178.6,59.0,571.9,5,9.5,820.8,35,0,20
181.8,57.9,572.0,5,5.5,821.1,35,0,20
185.0,70.0,572.0,5,10.5,821.3,35,0,20
188.1,67.0,571.8,5,13.5,821.7,35,0,20
191.2,66.9,571.9,5,14.5,822.5,35,0,20
194.3,68.5,571.9,5,12.0,824.5,35,0,20
197.4,75.4,572.0,5,14.0,826.2,35,0,20
200.5,76.4,571.9,5,12.0,826.6,35,0,20
203.7,59.5,571.9,5,15.5,827.0,35,0,20
206.8,82.0,571.9,5,12.0,827.2,35,0,20
209.9,73.5,571.9,5,13.0,827.4,35,0,20
213.0,76.4,571.9,5,15.0,827.9,35,0,20
216.1,88.5,571.9,5,16.5,828.4,35,0,20
219.3,87.1,572.0,5,14.5,829.0,35,0,20
222.4,77.5,572.1,5,14.0,829.2,35,1,20
225.5,73.5,572.3,5,11.5,829.3,35,0,20
228.7,105.9,572.5,5,17.0,823.4,35,0,20
231.8,84.8,572.6,5,11.0,836.4,36,0,20
235.0,82.4,572.5,5,18.5,824.1,35,1,20
238.1,88.0,572.4,5,19.5,823.7,35,0,20
241.2,89.5,572.6,5,15.5,824.2,35,0,20
244.3,89.0,572.7,5,11.0,824.6,35,0,20
247.4,85.4,572.7,5,11.5,826.2,35,0,20
250.6,99.5,572.7,5,20.0,826.6,35,2,20
253.7,95.6,572.6,5,20.0,828.0,35,0,20
256.8,102.0,572.7,5,20.0,829.3,35,0,20
260.0,106.5,572.7,5,20.0,829.7,35,0,20
263.1,101.5,572.6,5,9.5,829.8,35,0,20
266.2,104.5,573.0,5,14.5,842.7,36,0,20
269.3,111.0,573.0,5,17.5,829.9,35,0,20
272.5,103.0,573.1,5,19.0,832.1,35,0,20
275.6,93.9,573.3,5,16.0,833.6,35,0,20
278.7,103.5,573.3,5,14.0,831.1,35,0,20
281.9,131.4,573.3,5,25.4,831.0,35,0,20
285.0,107.9,573.5,5,20.0,825.0,35,0,20
288.1,104.5,573.7,5,18.0,819.3,35,1,20
291.3,104.3,573.8,5,21.0,820.5,35,1,20
294.5,113.5,573.9,5,18.5,821.0,35,1,20
297.6,120.0,574.2,5,14.5,809.9,35,0,20
300.7,124.0,574.4,5,20.0,809.9,35,0,20
303.8,124.7,574.4,5,19.5,811.3,35,0,20
306.9,115.9,574.7,5,17.5,807.5,35,0,20
310.0,130.0,574.8,5,18.0,810.2,35,0,20
313.3,123.7,574.8,5,28.3,815.3,35,0,20
316.4,116.0,574.8,5,21.5,817.4,35,0,20
319.5,124.0,575.3,5,20.5,854.0,38,0,20
322.7,144.5,575.3,5,22.0,811.6,35,0,20
325.8,118.7,575.4,5,20.9,812.2,35,0,20
329.0,136.8,575.3,5,16.5,813.2,35,0,20
332.2,144.0,575.2,5,22.7,816.7,35,1,20
335.3,160.7,575.5,5,23.0,819.5,35,1,20
338.4,145.3,575.8,5,16.0,819.9,35,0,20
341.6,137.5,575.9,5,21.5,819.8,35,0,20
344.7,161.8,576.3,5,16.5,814.7,35,0,20
347.8,139.8,576.1,5,26.0,811.5,35,1,20
350.9,139.5,576.1,5,22.5,806.0,35,0,20
354.1,140.5,576.1,5,21.0,806.7,35,0,20
357.2,150.3,576.9,5,21.0,844.8,37,0,20
360.3,158.5,577.1,5,24.0,797.9,35,0,20
363.5,145.1,577.4,5,20.0,799.7,35,0,20
366.6,184.8,578.1,5,24.0,787.9,35,0,20
369.7,143.5,578.3,5,23.0,792.5,35,0,20
372.9,167.5,578.3,5,19.0,801.8,35,1,20
376.0,177.0,578.6,5,36.5,808.1,35,0,20
379.1,177.5,578.9,5,25.0,799.3,35,0,20
382.2,138.8,578.9,5,17.0,800.9,35,1,20
385.3,172.7,579.2,5,25.5,777.8,35,0,20
388.5,155.5,579.0,5,25.5,780.2,35,1,20
391.6,151.0,579.1,5,25.5,783.2,35,0,20
394.7,164.7,578.8,5,26.5,786.6,35,0,20
397.9,173.5,578.7,5,28.0,788.3,35,0,20
401.0,179.3,578.7,5,34.0,820.0,37,0,20
404.1,188.2,579.4,5,27.5,771.5,35,1,20
407.2,166.5,579.5,5,19.5,762.9,35,0,20
410.4,173.5,579.6,5,25.5,765.7,35,0,20
413.5,188.5,579.4,5,22.0,757.5,35,0,20
416.6,159.8,579.3,5,17.5,760.7,35,0,20
419.8,155.4,579.3,5,28.9,762.1,35,0,20
422.9,189.9,579.7,5,18.0,752.3,35,0,20
426.0,154.0,580.4,5,32.0,761.7,35,0,20
429.2,189.5,580.6,5,23.0,755.0,35,0,20
432.3,162.0,580.1,5,32.0,765.9,35,0,20
435.4,167.8,580.1,5,23.0,776.4,35,0,20
438.5,175.3,580.5,5,22.5,774.9,35,0,20
441.6,187.0,580.5,5,22.0,770.6,35,0,20
444.7,177.0,580.8,5,27.5,772.7,35,0,20
447.9,169.3,580.3,5,22.5,774.0,35,1,20
451.0,161.5,580.1,5,26.5,774.8,35,0,20
454.1,183.0,580.3,5,26.5,778.0,35,2,20
457.2,161.0,580.3,5,18.0,779.9,35,0,20
460.4,157.3,580.8,5,21.5,781.2,35,0,20
463.5,118.0,581.4,5,18.5,778.2,35,0,20
466.6,0.5,581.4,5,0.0,778.1,35,0,20
469.7,1.0,581.4,5,0.0,778.1,35,0,20
472.9,1.5,581.4,5,1.0,778.0,35,0,20
476.0,0.5,581.4,5,0.5,778.0,35,0,20
479.1,0.0,581.4,5,0.0,778.0,35,0,20
482.3,1.0,581.4,5,0.5,777.9,35,0,20
