elapsed_s,backend_cpu_pct_total,backend_rss_mb_total,backend_process_count,postgres_total_cpu_pct,postgres_total_rss_mb,postgres_process_count,db_active_connections,db_total_connections
3.0,1.5,530.4,5,0.0,749.5,35,0,20
6.1,2.0,529.4,5,3.0,752.5,35,0,20
9.2,2.0,529.2,5,0.5,753.1,35,0,20
12.4,2.5,529.2,5,1.0,754.4,35,0,20
15.5,5.0,529.3,5,1.5,756.7,35,0,20
18.6,13.0,529.1,5,1.5,761.0,35,0,20
21.8,4.4,529.1,5,2.0,761.5,35,0,20
24.9,9.5,529.2,5,1.0,762.1,35,0,20
28.1,5.5,529.1,5,1.0,763.0,35,0,20
31.2,12.5,529.2,5,2.5,768.0,35,0,20
34.3,12.0,529.2,5,4.0,771.0,35,0,20
37.4,12.0,529.4,5,2.5,771.9,35,0,20
40.5,18.0,529.4,5,4.0,774.7,35,0,20
43.7,18.5,529.4,5,2.5,776.1,35,0,20
46.8,19.0,529.4,5,2.5,777.6,35,0,20
49.9,10.5,529.4,5,2.0,778.3,35,0,20
53.0,15.5,529.3,5,3.5,779.1,35,0,20
56.2,15.5,529.4,5,2.5,779.8,35,0,20
59.3,13.5,529.4,5,2.0,780.2,35,0,20
62.4,24.5,529.4,5,3.5,780.1,35,0,20
65.5,23.5,529.4,5,4.0,781.4,35,0,20
68.6,24.5,529.2,5,3.5,781.7,35,0,20
71.7,21.0,529.2,5,1.0,782.0,35,0,20
74.9,24.1,529.2,5,5.0,782.6,35,0,20
78.0,22.0,529.5,5,3.5,784.8,35,0,20
81.2,25.5,529.5,5,4.5,786.3,35,0,20
84.3,27.6,529.6,5,5.5,787.9,35,0,20
87.4,28.6,529.4,5,4.5,789.5,35,0,20
90.5,39.5,529.3,5,7.5,790.6,35,0,20
93.6,30.0,529.6,5,5.5,791.3,35,0,20
96.7,28.5,529.6,5,5.0,792.2,35,0,20
99.9,42.5,529.7,5,11.5,793.0,35,0,20
103.0,34.4,529.6,5,7.5,793.0,35,0,20
106.1,33.7,529.6,5,7.5,793.4,35,0,20
109.2,32.6,529.7,5,5.5,793.8,35,0,20
112.3,31.0,529.8,5,6.0,794.7,35,0,20
115.4,36.5,529.6,5,10.0,794.8,35,1,20
118.5,39.6,529.6,5,7.0,794.9,35,0,20
121.7,26.5,529.4,5,4.5,795.0,35,0,20
124.8,38.0,529.6,5,10.5,796.1,35,0,20
127.9,43.7,529.6,5,8.0,796.6,35,0,20
131.1,51.5,529.6,5,9.5,797.3,35,0,20
134.2,37.6,529.4,5,9.0,798.3,35,0,20
137.3,49.5,529.5,5,6.5,799.3,35,0,20
140.4,59.0,529.5,5,9.0,801.2,35,0,20
143.5,55.3,529.4,5,14.5,802.9,35,1,20
146.6,61.0,529.5,5,7.5,804.4,35,0,20
149.8,48.8,529.5,5,6.0,804.5,35,0,20
152.9,47.2,529.5,5,6.5,804.5,35,0,20
156.0,53.5,529.5,5,11.5,804.7,35,0,20
159.2,53.5,529.5,5,10.0,805.4,35,0,20
162.4,64.9,529.5,5,8.5,805.4,35,0,20
165.4,44.0,529.6,5,6.5,805.8,35,0,20
168.6,76.0,529.6,5,9.5,805.8,35,0,20
171.7,60.5,529.7,5,8.0,805.8,35,0,20
174.9,51.4,529.7,5,12.5,806.1,35,0,20
178.0,66.4,529.7,5,10.5,806.2,35,0,20
181.1,60.5,529.6,5,11.5,806.3,35,0,20
184.2,64.0,529.6,5,8.0,806.8,35,0,20
187.3,63.4,529.6,5,8.5,807.0,35,0,20
190.5,60.5,529.6,5,15.0,808.0,35,0,20
193.6,94.1,529.8,5,15.5,809.0,35,0,20
196.7,93.0,530.0,5,13.5,816.9,36,0,20
199.9,88.1,530.0,5,16.0,804.7,35,1,20
203.1,98.1,529.8,5,18.0,808.3,35,0,20
206.2,88.4,529.8,5,14.0,809.0,35,0,20
209.3,87.4,529.7,5,10.5,809.5,35,0,20
212.4,105.0,529.8,5,12.0,809.7,35,0,20
215.6,75.9,529.9,5,18.5,809.9,35,0,20
218.7,76.5,529.8,5,14.5,809.9,35,0,20
221.8,105.2,529.8,5,13.5,810.3,35,0,20
225.0,99.5,529.8,5,12.5,810.4,35,0,20
228.1,119.7,529.7,5,20.0,810.5,35,0,20
231.2,101.5,529.7,5,18.5,810.8,35,0,20
234.3,122.5,530.0,5,20.0,810.9,35,0,20
237.4,105.1,530.1,5,14.0,811.3,35,0,20
240.5,114.9,530.1,5,26.0,811.5,35,0,20
243.6,114.5,529.9,5,18.0,811.6,35,0,20
246.8,118.4,529.8,5,20.0,811.9,35,1,20
249.9,102.5,529.8,5,21.0,812.4,35,0,20
253.0,122.6,529.9,5,21.5,813.3,35,0,20
