elapsed_s,backend_cpu_pct_total,backend_rss_mb_total,backend_process_count,postgres_total_cpu_pct,postgres_total_rss_mb,postgres_process_count,db_active_connections,db_total_connections
3.0,0.5,522.4,5,0.5,716.6,35,0,20
6.2,6.5,520.7,5,1.0,718.0,35,0,20
9.3,9.5,520.2,5,1.0,718.3,35,0,20
12.5,7.2,520.2,5,1.5,718.6,35,0,20
15.8,14.5,520.1,5,3.0,720.0,35,0,20
18.9,10.0,520.1,5,1.5,720.3,35,0,20
22.1,17.0,520.1,5,6.0,723.0,35,0,20
25.2,18.0,520.1,5,6.5,727.1,35,0,20
28.3,20.0,520.1,5,6.0,728.6,35,0,20
31.5,25.0,520.1,5,5.0,734.4,35,0,20
34.7,31.7,520.1,5,7.5,737.7,35,0,20
37.8,35.5,520.1,5,6.5,745.8,35,0,20
40.9,31.5,520.1,5,9.0,749.6,35,0,20
44.1,39.9,520.2,5,6.5,750.9,35,0,20
47.2,40.9,520.3,5,8.5,752.5,35,0,20
50.3,45.0,520.3,5,9.0,754.2,35,0,20
53.5,37.6,520.3,5,11.0,757.2,35,0,20
56.6,36.3,520.3,5,7.0,759.1,35,1,20
59.8,58.6,520.2,5,14.0,761.8,35,0,20
62.9,42.5,520.1,5,11.5,762.3,35,1,20
66.0,45.7,520.4,5,12.5,762.9,35,0,20
69.2,53.1,520.2,5,13.0,763.6,35,0,20
72.3,58.5,520.2,5,11.5,765.0,35,0,20
75.4,49.6,520.2,5,8.0,765.2,35,0,20
78.6,52.0,520.2,5,15.0,766.1,35,0,20
81.8,65.1,520.3,5,16.5,767.5,35,0,20
84.9,58.1,520.3,5,14.5,768.1,35,0,20
88.0,69.0,520.4,5,14.0,770.4,35,0,20
91.3,72.7,520.3,5,12.3,771.4,35,0,20
94.5,68.7,520.4,5,18.0,773.1,35,0,20
97.7,77.1,520.4,5,12.5,773.6,35,0,20
100.8,69.5,520.4,5,13.0,773.6,35,0,20
103.9,85.1,520.2,5,14.0,774.6,35,0,20
107.1,83.5,520.3,5,20.0,775.4,35,0,20
110.3,73.2,520.4,5,15.5,775.7,35,0,20
113.4,99.0,520.4,5,17.0,776.1,35,1,20
116.6,77.5,520.3,5,17.5,776.2,35,0,20
119.7,94.5,520.3,5,21.5,777.6,35,0,20
122.8,93.0,520.4,5,26.5,777.1,35,0,20
126.0,92.6,520.4,5,18.0,776.9,35,0,20
129.2,98.4,520.4,5,22.1,778.3,35,0,20
132.3,89.1,520.4,5,27.5,778.4,35,0,20
135.5,102.5,520.6,5,22.0,780.0,35,0,20
138.6,111.4,520.6,5,31.5,779.9,35,1,20
141.7,110.6,520.6,5,26.0,781.4,35,1,20
145.0,88.9,520.6,5,24.9,782.4,35,0,20
148.1,134.0,520.6,5,29.5,782.6,35,0,20
151.2,119.3,520.7,5,25.0,784.0,35,0,20
154.4,91.0,520.6,5,29.5,784.9,35,0,20
157.5,116.5,520.6,5,21.5,785.8,35,0,20
160.6,120.0,520.6,5,31.5,786.3,35,0,20
163.7,110.0,520.4,5,28.0,786.1,35,0,20
166.9,114.0,520.4,5,28.0,787.3,35,0,20
170.0,125.0,520.4,5,26.0,786.6,35,0,20
173.1,127.0,520.7,5,39.0,787.2,35,0,20
176.3,124.5,520.8,5,30.5,786.6,35,1,20
179.5,130.8,520.8,5,23.6,786.9,35,0,20
182.6,144.9,520.7,5,31.0,787.0,35,0,20
185.7,155.8,520.7,5,34.0,787.9,35,0,20
188.9,153.7,521.1,5,36.0,783.9,35,0,20
192.0,137.0,521.1,5,34.0,782.7,35,0,20
195.1,149.0,521.0,5,38.0,783.5,35,0,20
198.2,149.0,520.8,5,38.5,784.4,35,0,20
201.4,141.2,520.7,5,29.0,785.4,35,0,20
204.6,148.1,520.8,5,42.7,787.5,35,2,20
207.7,152.3,520.9,5,37.0,788.7,35,0,20
210.9,171.5,521.1,5,34.5,797.5,36,0,20
214.0,180.5,509.8,5,35.0,791.1,35,0,20
217.2,158.9,509.8,5,34.0,791.7,35,0,20
220.3,184.0,509.7,5,33.0,789.0,35,0,20
223.4,156.5,509.8,5,38.0,788.3,35,0,20
226.6,170.7,509.8,5,34.5,784.4,35,0,20
229.7,184.9,509.6,5,38.1,786.1,35,1,20
232.8,182.1,509.6,5,37.5,786.0,35,0,20
235.9,190.5,509.8,5,36.0,781.5,35,0,20
239.0,178.8,509.8,5,32.5,783.8,35,0,20
242.2,200.0,510.1,5,41.0,779.1,35,0,20
245.3,185.8,510.1,5,46.0,776.3,35,2,20
248.4,190.0,510.0,5,40.0,773.2,35,1,21
251.5,197.9,510.1,5,40.0,765.3,35,0,20
254.7,221.6,510.4,5,44.0,758.2,35,2,20
257.8,213.5,510.5,5,38.5,754.1,35,1,20
261.0,230.0,510.4,5,45.5,761.6,35,1,20
264.1,215.3,510.5,5,46.5,855.4,40,0,24
