elapsed_s,backend_cpu_pct_total,backend_rss_mb_total,backend_process_count,postgres_total_cpu_pct,postgres_total_rss_mb,postgres_process_count,db_active_connections,db_total_connections
3.0,0.0,508.5,5,0.0,284.3,15,0,0
6.1,4.0,513.6,5,0.5,326.3,17,1,2
9.3,9.5,525.5,5,1.5,371.0,19,0,4
12.4,9.5,531.0,5,2.0,392.8,20,0,5
15.6,12.5,532.1,5,2.0,415.5,21,0,6
18.8,17.7,533.8,5,3.5,418.0,21,0,6
21.9,13.5,534.4,5,2.5,418.4,21,0,6
25.1,17.3,535.1,5,5.4,463.3,23,0,8
28.2,14.5,535.5,5,4.0,463.8,23,0,8
31.4,13.5,536.5,5,6.0,487.0,24,0,9
34.5,22.0,536.9,5,4.0,489.5,24,0,9
37.6,13.5,537.5,5,4.5,491.8,24,0,9
40.7,19.0,538.1,5,6.5,492.2,24,0,9
43.9,34.6,538.8,5,6.0,492.7,24,0,9
47.0,26.3,538.9,5,8.5,495.9,24,0,9
50.2,34.6,538.9,5,3.5,496.5,24,0,9
53.3,32.5,539.0,5,6.5,497.4,24,0,9
56.4,31.0,539.1,5,12.0,498.5,24,0,9
59.6,43.0,539.7,5,10.5,499.3,24,0,9
62.9,39.2,540.3,5,9.3,521.8,25,1,10
66.0,36.9,540.3,5,8.5,522.8,25,1,10
69.2,49.0,540.5,5,11.0,523.2,25,0,10
72.3,43.0,540.6,5,11.5,525.4,25,0,10
75.4,48.4,540.7,5,11.5,525.8,25,0,10
78.5,54.4,541.7,5,12.5,570.6,27,0,12
81.6,39.0,541.7,5,13.0,571.8,27,0,12
84.7,51.3,541.8,5,12.5,573.8,27,0,12
87.8,53.3,541.9,5,10.5,595.9,28,0,13
91.0,57.5,542.3,5,13.5,618.9,29,0,14
94.1,53.5,542.5,5,16.0,621.2,29,0,14
97.2,57.5,542.8,5,18.5,622.9,29,0,14
100.3,72.9,543.0,5,15.5,645.2,30,0,15
103.5,68.0,543.4,5,13.5,691.3,32,0,17
106.6,66.5,543.8,5,19.5,715.0,33,0,18
109.8,83.0,544.0,5,21.0,716.5,33,0,18
112.9,62.6,544.1,5,16.5,717.8,33,0,18
116.0,61.5,543.8,5,16.5,718.4,33,0,18
119.1,73.4,543.8,5,15.5,719.4,33,0,18
122.2,79.0,544.2,5,17.5,719.4,33,0,18
125.4,66.5,544.2,5,14.5,719.9,33,0,18
128.5,47.0,544.3,5,15.5,719.6,33,0,18
131.6,51.0,544.3,5,16.0,720.4,33,0,18
134.8,49.8,544.3,5,19.5,720.6,33,0,18
137.9,55.4,544.5,5,13.0,720.6,33,1,18
141.0,55.5,544.5,5,12.0,723.6,33,0,18
144.1,64.9,544.6,5,16.0,724.2,33,0,18
147.3,70.5,544.6,5,18.5,725.6,33,1,18
150.6,67.8,544.8,5,20.9,728.0,33,1,18
153.7,59.5,544.8,5,17.0,728.8,33,0,18
156.8,71.9,544.7,5,12.0,729.3,33,1,18
160.1,59.5,544.7,5,19.1,730.2,33,0,18
163.2,51.0,544.7,5,15.0,729.8,33,0,18
166.4,59.0,544.8,5,16.8,730.6,33,1,18
169.6,62.1,544.8,5,14.5,731.2,33,0,18
172.7,60.1,544.9,5,19.0,731.0,33,0,18
175.8,61.5,544.9,5,14.0,731.8,33,0,18
178.9,50.9,544.7,5,13.0,732.3,33,1,18
182.1,71.0,544.8,5,12.5,731.8,33,0,18
185.3,47.3,544.8,5,16.4,732.4,33,1,18
188.4,61.5,544.8,5,19.0,731.8,33,0,18
191.6,64.6,544.7,5,16.0,733.0,33,0,18
194.7,49.0,544.8,5,11.5,733.3,33,0,18
197.9,59.5,544.9,5,12.2,732.9,33,0,18
201.1,65.9,544.9,5,18.0,733.2,33,0,18
204.2,62.9,545.0,5,16.0,734.2,33,1,18
207.3,62.6,544.9,5,15.5,734.6,33,0,18
210.4,73.9,544.8,5,17.0,735.1,33,0,18
213.5,54.0,545.7,5,6.5,735.6,33,0,18
216.7,0.0,545.7,5,0.5,735.6,33,0,18
219.8,1.0,545.7,5,0.5,735.6,33,0,18
222.9,0.0,545.7,5,0.5,735.6,33,0,18
