elapsed_s,backend_cpu_pct_total,backend_rss_mb_total,backend_process_count,postgres_total_cpu_pct,postgres_total_rss_mb,postgres_process_count,db_active_connections,db_total_connections
3.0,1.5,500.8,5,0.0,288.3,15,0,0
6.1,1.0,500.8,5,0.0,288.3,15,0,0
9.3,14.5,523.1,5,1.5,413.8,21,0,6
12.4,5.5,523.6,5,3.5,455.6,23,0,8
15.6,9.0,525.9,5,2.5,499.5,25,0,10
18.7,18.0,527.7,5,3.0,544.9,27,0,12
21.8,19.5,529.1,5,1.0,550.3,27,0,12
24.9,15.0,529.8,5,2.0,551.8,27,0,12
28.1,21.0,529.9,5,4.5,554.7,27,0,12
31.2,24.5,530.4,5,10.0,560.8,27,0,12
34.3,19.5,530.6,5,4.0,561.7,27,0,12
37.5,33.6,531.9,5,7.5,562.5,27,0,12
40.6,31.5,532.8,5,8.0,585.6,28,1,13
43.7,40.8,532.8,5,9.0,587.0,28,0,13
46.9,33.6,532.8,5,6.5,587.4,28,0,13
50.0,39.2,532.9,5,9.5,589.0,28,0,13
53.2,41.7,533.2,5,10.5,590.6,28,0,13
56.3,41.5,533.3,5,8.5,592.1,28,0,13
59.4,47.5,533.6,5,9.0,613.3,29,0,14
62.6,47.5,533.6,5,11.5,614.3,29,0,14
65.8,42.0,533.5,5,11.8,615.3,29,0,14
68.9,55.2,533.6,5,11.5,615.8,29,0,14
72.0,50.4,533.8,5,15.5,616.1,29,0,14
75.2,61.7,534.5,5,17.0,616.4,29,0,14
78.3,56.7,535.0,5,17.0,638.7,30,0,15
81.4,66.5,535.1,5,16.0,640.5,30,0,15
84.6,76.5,535.2,5,19.5,642.6,30,0,15
87.7,81.6,535.4,5,19.0,644.3,30,0,15
90.8,74.6,535.5,5,18.5,645.3,30,0,15
94.0,85.5,535.8,5,20.0,666.6,31,0,16
97.1,80.6,535.8,5,20.0,668.9,31,0,16
100.2,65.5,535.7,5,13.0,669.6,31,0,16
103.4,66.0,535.9,5,14.0,670.1,31,0,16
106.5,91.6,535.9,5,20.5,670.5,31,0,16
109.6,81.4,536.1,5,25.5,670.8,31,0,16
112.7,88.9,536.3,5,18.5,671.3,31,0,16
115.8,86.1,536.4,5,18.5,671.0,31,0,16
119.0,96.5,536.6,5,26.0,671.5,31,0,16
122.1,102.6,536.9,5,28.5,693.0,32,1,17
125.2,93.5,537.0,5,26.0,693.1,32,0,17
128.4,101.5,537.7,5,22.5,714.7,33,0,18
131.5,111.3,537.5,5,24.4,715.4,33,1,18
134.7,102.0,538.0,5,25.0,718.6,33,0,18
137.8,113.5,538.2,5,22.5,740.6,34,2,19
140.9,124.5,538.6,5,21.0,743.1,34,0,19
144.1,133.7,539.7,5,25.5,743.9,34,0,19
147.2,104.5,539.6,5,31.0,745.6,34,1,19
150.3,118.5,540.1,5,30.5,746.0,34,0,19
153.4,128.5,540.2,5,26.0,767.1,35,0,20
156.6,134.0,540.2,5,29.0,768.1,35,0,20
159.7,119.5,540.3,5,24.5,769.9,35,0,20
162.8,118.5,540.7,5,31.0,768.7,35,1,20
166.0,147.7,540.9,5,37.0,771.0,35,0,20
169.2,123.6,541.1,5,25.0,770.3,35,0,20
172.4,109.2,541.0,5,24.5,769.4,35,0,20
175.5,146.3,540.9,5,33.5,770.7,35,0,20
178.6,147.8,541.3,5,36.0,770.7,35,0,20
181.7,147.0,541.3,5,35.5,770.4,35,0,20
184.8,156.5,541.6,5,28.5,767.4,35,0,20
188.0,144.5,541.5,5,27.5,768.3,35,1,20
191.1,145.5,541.7,5,42.0,768.6,35,0,20
194.2,170.3,541.8,5,36.5,769.0,35,0,20
197.3,153.0,542.0,5,39.5,764.9,35,0,20
200.4,166.2,542.3,5,34.0,761.1,35,0,20
203.6,193.0,542.9,5,38.5,780.2,36,1,20
206.7,167.3,542.9,5,38.5,766.0,35,0,20
209.8,176.0,543.0,5,40.0,765.7,35,0,20
213.0,175.4,542.7,5,28.8,767.2,35,0,20
216.1,186.5,542.8,5,29.0,768.1,35,0,20
219.2,182.9,543.0,5,40.5,763.8,35,0,20
222.5,179.8,543.0,5,34.2,764.7,35,0,20
225.6,184.0,542.8,5,29.5,765.6,35,0,20
228.7,198.5,542.8,5,36.5,766.1,35,2,20
231.8,189.5,542.7,5,42.0,765.3,35,0,20
234.9,181.8,542.7,5,46.5,765.5,35,0,20
238.2,181.5,543.0,5,36.1,767.0,35,2,23
241.4,223.3,543.9,5,35.0,757.3,35,2,20
244.5,227.8,544.9,5,36.5,751.9,35,1,20
247.6,225.2,545.0,5,55.0,752.5,35,1,20
250.8,218.2,544.9,5,49.6,754.8,35,0,20
253.9,253.0,544.9,5,53.5,751.2,35,0,20
257.1,262.7,545.2,5,51.0,751.9,35,0,21
260.2,258.7,545.5,5,50.0,771.9,36,0,20
263.4,281.7,546.1,5,55.0,747.1,35,2,21
266.5,264.0,547.0,5,53.5,749.3,35,0,20
269.6,341.6,546.9,5,50.0,737.0,35,1,20
272.8,267.8,545.4,5,50.0,737.8,35,0,20
275.9,264.5,546.0,5,52.5,738.6,35,0,20
279.0,403.5,554.6,5,29.5,963.5,48,0,36
282.3,443.9,559.8,5,54.9,1033.5,51,1,32
285.5,441.1,560.8,5,55.9,1268.9,62,0,43
288.6,439.7,561.8,5,54.9,1305.8,63,0,48
291.7,435.2,562.2,5,49.5,984.2,48,0,27
294.9,449.5,564.0,5,47.5,1306.7,63,1,48
298.0,418.0,565.2,5,42.5,714.0,35,0,20
301.1,444.5,565.9,5,57.1,1285.7,62,1,43
304.3,444.0,566.7,5,39.5,1222.2,60,1,45
307.4,458.0,567.1,5,77.0,1243.3,60,2,45
310.6,442.7,568.2,5,86.1,1315.1,63,0,48
313.7,451.6,568.2,5,86.5,1283.7,61,1,45
316.8,444.0,568.3,5,62.0,1329.0,63,0,48
320.0,445.5,569.7,5,97.5,1350.5,63,1,48
323.1,458.0,569.5,5,81.5,1356.7,63,0,47
326.2,449.5,569.6,5,72.0,1257.8,58,0,42
