Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1786610838,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1786610839,6,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1786610840,9,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1786610841,12,GET,/api/v1/qr/menu [isolation-control:b],0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,2221.092799998587,2244.93965000147,2221.092799998587,2268.786500004353,17861.0
1786610841,12,GET,/api/v1/qr/menu [mixed:browse],0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,2320.865000001504,2320.865000001504,2320.865000001504,2320.865000001504,17855.0
1786610841,12,GET,/api/v1/qr/menu [mixed:pre-order],0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,2067.047000004095,2067.047000004095,2067.047000004095,2067.047000004095,17855.0
1786610841,12,,Aggregated,0.000000,0.000000,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,4,0,2200,2219.447825002135,2067.047000004095,2320.865000001504,17858.0
1786610842,15,GET,/api/v1/qr/menu [isolation-control:b],0.000000,0.000000,2100,2100,2200,2200,2200,2200,2200,2200,2200,2200,2200,5,0,2200,2173.8019399999757,2066.6151999976137,2268.786500004353,17861.0
1786610842,15,GET,/api/v1/qr/menu [mixed:browse],0.000000,0.000000,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2,0,2100,2193.544400000974,2066.2238000004436,2320.865000001504,17855.0
1786610842,15,GET,/api/v1/qr/menu [mixed:poll-fallback],0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,2218.842599999334,2218.842599999334,2218.842599999334,2218.842599999334,17855.0
1786610842,15,GET,/api/v1/qr/menu [mixed:pre-order],0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,2067.047000004095,2067.047000004095,2067.047000004095,2067.047000004095,17855.0
1786610842,15,POST,/api/v1/qr/orders [mixed:POST],0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,46.70350000378676,46.70350000378676,46.70350000378676,46.70350000378676,1166.0
1786610842,15,,Aggregated,0.000000,0.000000,2200,2200,2200,2300,2300,2300,2300,2300,2300,2300,2300,10,0,2100,1958.8691600009042,46.70350000378676,2320.865000001504,16189.1
1786610843,18,GET,/api/v1/qr/menu [isolation-control:b],0.666667,0.000000,2100,2100,2200,2200,2200,2200,2200,2200,2200,2200,2200,6,0,2100,2155.3889666671844,2063.3241000032285,2268.786500004353,17861.0
