elapsed_s,backend_cpu_pct_total,backend_rss_mb_total,backend_process_count,postgres_total_cpu_pct,postgres_total_rss_mb,postgres_process_count,db_active_connections,db_total_connections
3.0,0.5,569.2,5,0.0,710.7,35,0,20
6.1,2.0,564.8,5,0.5,711.8,35,0,20
9.3,9.5,561.6,5,6.0,713.5,35,1,20
12.4,14.9,561.8,5,3.5,718.3,35,0,20
15.5,13.0,561.9,5,3.5,718.7,35,0,20
18.6,14.5,561.9,5,4.0,720.5,35,0,20
21.8,20.0,561.8,5,8.5,725.6,35,0,20
24.9,20.5,561.9,5,6.0,728.9,35,0,20
28.1,30.2,561.9,5,9.5,730.9,35,0,20
31.2,29.0,561.8,5,6.5,732.8,35,0,20
34.3,33.4,561.8,5,10.5,735.4,35,0,20
37.4,35.5,561.7,5,9.5,738.8,35,0,20
40.6,40.9,561.9,5,11.0,744.0,35,0,20
43.7,39.0,561.9,5,10.5,747.0,35,0,20
46.9,42.0,561.9,5,9.0,748.2,35,0,20
50.0,39.6,561.9,5,10.0,749.8,35,0,20
53.1,44.7,561.9,5,5.5,750.5,35,0,20
56.3,64.0,561.9,5,12.0,751.5,35,1,20
59.4,47.0,561.9,5,13.0,752.5,35,0,20
62.5,46.1,561.9,5,14.5,753.1,35,0,20
65.6,59.6,562.1,5,15.0,753.9,35,0,20
68.7,45.7,562.2,5,12.5,754.3,35,0,20
71.8,70.4,562.2,5,18.0,754.8,35,0,20
74.9,71.0,562.1,5,13.5,756.3,35,0,20
78.2,76.1,562.0,5,15.8,756.7,35,0,20
81.3,79.9,562.0,5,12.5,758.0,35,0,20
84.4,78.9,562.1,5,24.0,758.7,35,0,20
87.6,101.0,562.2,5,21.8,760.4,35,0,20
90.8,84.6,562.2,5,17.5,761.5,35,0,20
94.0,90.2,562.2,5,16.3,761.3,35,0,20
97.2,93.7,562.1,5,24.1,761.4,35,0,20
100.3,112.6,562.2,5,21.0,762.6,35,0,20
103.5,86.5,562.1,5,18.0,762.8,35,0,20
106.7,86.0,562.1,5,16.7,762.9,35,0,20
109.8,112.1,562.1,5,23.5,763.7,35,0,20
112.9,106.4,562.1,5,30.0,763.7,35,0,20
116.0,95.4,562.1,5,22.0,763.2,35,0,20
119.1,113.5,562.1,5,30.5,764.3,35,0,20
122.2,133.6,562.3,5,31.0,764.1,35,0,20
125.4,108.0,562.3,5,20.0,764.5,35,2,20
128.5,135.6,562.3,5,22.5,764.5,35,1,20
131.6,143.7,562.4,5,28.0,766.5,35,0,20
134.7,139.9,562.3,5,38.0,767.3,35,0,20
137.9,132.5,562.4,5,29.8,769.6,35,0,20
141.1,162.5,562.8,5,34.5,762.6,35,2,20
144.2,137.3,562.8,5,28.5,761.4,35,0,20
147.3,137.8,562.9,5,27.0,764.2,35,0,20
150.4,133.8,563.0,5,36.5,764.5,35,0,20
153.5,146.3,562.8,5,26.5,765.8,35,0,20
156.6,166.3,562.6,5,31.0,765.2,35,0,20
159.7,155.0,562.5,5,34.0,766.6,35,0,20
162.8,161.8,562.4,5,24.0,767.0,35,1,20
165.9,189.5,562.8,5,36.0,768.2,35,0,20
169.2,184.2,562.8,5,42.6,767.6,35,0,20
172.3,176.9,562.9,5,34.5,763.5,35,0,20
175.4,185.4,562.9,5,35.5,764.0,35,0,20
178.5,185.9,563.0,5,36.0,762.4,35,1,20
181.6,197.4,566.1,5,46.5,769.3,35,1,20
184.7,189.5,566.4,5,46.5,770.5,35,0,20
187.8,227.5,566.6,5,44.0,769.1,35,0,20
190.9,208.2,566.6,5,52.5,771.4,35,2,20
194.1,209.1,567.0,5,54.0,775.2,35,0,20
197.3,243.2,567.5,5,43.3,767.5,35,0,20
200.4,230.7,567.5,5,58.5,773.7,35,0,20
203.5,231.7,567.6,5,45.5,776.5,35,0,20
206.7,253.6,567.9,5,33.5,767.0,35,0,20
209.8,227.2,567.9,5,45.0,768.3,35,0,20
212.9,256.6,567.9,5,43.5,769.9,35,0,20
216.0,233.7,567.7,5,49.5,764.0,35,0,20
219.1,230.0,567.8,5,46.0,765.9,35,0,20
222.3,275.5,567.9,5,52.5,767.1,35,0,20
225.4,218.0,567.9,5,52.0,765.3,35,0,20
228.5,268.0,568.1,5,46.0,761.7,35,0,20
231.6,257.5,568.1,5,44.0,781.8,36,0,20
234.7,257.7,568.2,5,47.0,757.9,35,0,20
237.8,277.5,568.2,5,34.5,748.3,35,0,20
240.9,290.8,568.5,5,53.8,746.1,35,1,20
244.0,289.0,568.7,5,39.0,743.8,35,0,20
247.1,296.5,568.9,5,61.0,745.3,35,0,20
250.3,304.0,569.1,5,53.5,743.6,35,1,20
253.4,335.0,569.2,5,59.0,812.9,39,1,22
256.5,433.0,572.1,5,37.5,982.3,47,3,29
259.7,446.3,572.3,5,39.4,1279.0,61,0,47
263.0,431.9,572.6,5,34.1,909.1,45,2,27
266.1,431.2,572.6,5,33.0,745.8,36,1,20
269.3,358.4,572.6,5,42.4,1068.1,51,0,34
272.5,429.9,571.8,5,45.1,1110.9,54,0,47
275.8,439.4,572.8,5,45.3,1185.1,57,4,41
279.0,410.8,572.8,5,49.3,979.7,48,1,30
282.2,437.3,573.9,5,54.1,1339.2,63,0,48
285.4,428.3,575.3,5,67.7,1339.1,63,1,48
288.6,433.7,575.6,5,65.0,1313.9,63,0,48
291.7,426.2,575.7,5,36.9,897.1,44,0,34
295.0,444.0,574.8,5,55.2,1337.9,63,0,48
298.2,437.5,575.0,5,53.5,1323.4,63,1,48
301.3,438.0,577.1,5,85.0,1346.1,63,0,48
304.5,431.7,578.6,5,86.9,1349.3,63,0,48
307.6,288.2,582.0,5,32.0,909.3,44,1,30
310.9,253.0,585.6,5,37.7,887.1,42,0,27
314.0,215.5,587.4,5,49.0,897.8,42,0,27
317.1,203.0,586.4,5,44.0,909.1,42,0,27
320.2,170.8,587.5,5,37.5,913.4,42,0,27
323.4,180.6,588.9,5,42.5,913.7,42,-1,-1
327.5,288.0,596.2,5,37.8,1366.7,63,0,48
330.7,310.4,596.5,5,31.9,1128.7,53,0,29
333.8,142.0,596.5,5,31.9,888.4,42,-1,-1
338.0,77.2,595.4,5,15.3,930.0,45,-1,-1
346.8,30.5,591.8,5,7.3,1020.9,49,-1,-1
355.3,53.1,593.9,5,11.8,1231.3,59,0,48
360.5,81.2,598.7,5,20.7,1339.3,63,0,48
363.9,21.6,599.9,5,2.9,1338.7,63,0,48
367.1,3.9,600.0,5,0.0,1338.6,63,0,48
370.7,0.0,600.0,5,1.3,1338.5,63,0,48
373.8,0.0,600.0,5,0.5,1338.5,63,0,48
376.9,1.0,600.0,5,0.5,1338.3,63,0,48
380.1,0.5,600.0,5,1.0,1353.9,64,0,48
