elapsed_s,backend_cpu_pct,backend_rss_mb,postgres_total_cpu_pct,postgres_total_rss_mb,postgres_process_count,db_active_connections,db_total_connections
3.0,0.0,134.0,0.0,417.3,21,0,6
6.1,1.0,133.9,1.0,417.0,21,0,6
9.2,5.5,133.9,2.0,417.4,21,0,6
12.4,3.0,133.9,2.5,417.3,21,0,6
15.6,7.3,133.9,2.5,417.7,21,0,6
18.7,7.5,134.0,3.0,417.6,21,0,6
21.9,14.4,131.2,5.0,417.8,21,0,6
25.1,7.8,131.9,5.0,417.6,21,0,6
28.2,14.9,132.9,3.0,417.9,21,0,6
31.3,17.5,132.0,7.5,418.6,21,0,6
34.5,12.5,132.3,4.5,418.4,21,0,6
37.7,17.3,129.8,4.4,418.6,21,0,6
40.8,20.9,131.6,6.0,417.7,21,0,6
44.0,24.5,132.9,6.5,418.1,21,0,6
47.1,21.0,133.0,7.0,418.4,21,0,6
50.2,23.9,133.8,5.5,418.9,21,0,6
53.4,27.4,133.9,6.5,418.8,21,0,6
56.5,39.5,134.0,9.5,419.1,21,0,6
59.7,27.7,134.2,7.0,418.3,21,0,6
62.8,32.5,134.8,6.5,419.1,21,0,6
66.0,34.8,135.0,6.5,419.2,21,0,6
69.1,36.5,135.6,11.5,419.4,21,0,6
72.2,41.2,136.2,11.5,419.0,21,0,6
75.3,39.5,136.3,8.5,419.2,21,0,6
78.5,39.8,136.6,8.0,419.9,21,0,6
81.6,38.5,137.2,8.5,440.9,22,0,7
84.7,46.0,137.6,14.0,440.9,22,0,7
87.9,47.3,138.4,7.5,441.2,22,0,7
91.0,49.8,138.5,14.0,440.4,22,0,7
94.1,48.5,139.0,16.0,440.6,22,0,7
97.3,45.3,139.5,8.0,440.5,22,0,7
100.4,59.1,139.7,11.5,441.2,22,0,7
103.6,57.0,140.6,7.5,483.0,24,0,9
106.7,66.0,140.7,12.0,503.5,25,0,10
109.8,56.0,140.7,13.5,503.3,25,0,10
113.0,62.2,140.8,16.0,504.1,25,0,10
116.1,59.0,141.7,15.0,504.6,25,1,10
119.2,59.0,142.0,18.0,504.7,25,0,10
122.3,68.2,142.3,11.5,502.4,25,0,10
125.5,67.0,142.3,12.5,502.9,25,0,10
128.6,64.2,142.8,14.0,503.3,25,0,10
131.7,68.0,143.3,17.0,508.1,25,0,10
134.9,63.5,144.8,11.5,506.8,25,0,10
138.0,66.2,144.8,14.5,506.6,25,0,10
141.1,58.0,145.3,16.0,507.1,25,0,10
144.3,58.0,144.8,13.0,507.4,25,1,10
147.4,71.6,145.4,9.0,497.4,25,0,10
150.5,70.0,145.4,20.5,499.1,25,0,10
153.6,50.5,145.4,10.0,500.2,25,1,10
156.8,65.0,144.9,21.0,500.7,25,0,10
159.9,60.5,144.9,14.0,499.9,25,0,10
163.0,51.3,142.6,8.0,490.1,25,0,10
166.4,58.2,144.1,16.8,494.7,25,0,10
169.5,63.5,144.5,19.0,496.2,25,0,10
172.6,59.0,144.9,15.5,496.8,25,0,10
175.7,67.7,144.5,18.0,496.7,25,0,10
178.9,54.7,144.8,12.0,497.6,25,0,10
182.0,64.0,144.9,13.5,498.0,25,0,10
185.1,55.5,144.9,17.0,498.2,25,0,10
188.3,55.0,145.3,9.0,498.3,25,0,10
191.4,91.5,145.3,13.5,501.7,25,0,10
194.5,73.1,145.3,14.5,504.3,25,0,12
197.7,62.0,145.2,11.0,502.2,25,0,10
200.8,57.1,143.3,15.5,503.5,25,0,10
204.0,51.0,143.6,12.5,503.3,25,0,10
207.1,74.0,143.7,18.5,504.0,25,1,10
210.2,61.2,145.1,7.5,496.8,25,1,10
213.3,42.0,145.1,10.5,497.6,25,0,10
216.5,0.0,145.1,1.0,497.6,25,0,10
219.6,0.5,145.1,0.5,497.5,25,0,10
222.8,0.5,145.1,0.0,497.5,25,0,10
