elapsed_s,backend_cpu_pct,backend_rss_mb,postgres_total_cpu_pct,postgres_total_rss_mb,postgres_process_count,db_active_connections,db_total_connections
3.0,0.0,157.9,0.0,503.2,25,0,10
6.3,16.1,157.7,4.6,503.8,25,0,10
9.6,94.8,158.1,12.8,507.8,25,0,10
12.8,73.4,158.8,10.7,510.0,25,0,10
16.1,47.1,159.4,9.7,512.1,25,0,10
19.5,32.9,159.6,11.6,514.8,25,0,10
22.9,97.7,161.4,19.9,558.1,27,0,12
26.3,132.7,161.8,19.9,646.8,31,1,16
29.7,151.2,162.7,20.9,714.9,34,0,19
32.9,81.0,163.5,8.5,718.5,34,1,19
36.3,88.4,164.5,19.8,784.7,37,0,23
39.7,85.8,163.6,14.8,831.1,39,0,24
43.0,92.8,165.3,29.1,872.6,41,0,26
46.3,94.4,165.5,13.8,671.6,33,0,20
49.8,96.9,166.3,23.7,751.4,36,0,21
53.1,84.4,165.0,26.1,821.5,40,0,27
56.6,96.8,164.6,23.6,951.3,45,0,30
59.8,99.5,167.7,29.6,953.6,45,0,30
63.1,94.7,169.1,26.1,956.1,45,1,30
66.3,91.9,169.2,22.7,955.5,45,0,30
69.6,93.9,169.1,18.5,955.5,45,0,30
72.9,100.9,168.9,24.5,956.7,45,0,30
76.1,97.1,169.3,20.8,962.8,45,0,30
79.4,99.1,170.3,28.2,964.9,45,0,30
82.6,85.9,170.3,24.0,924.9,43,1,28
85.8,96.1,170.3,22.8,947.0,44,0,30
89.1,100.0,170.2,27.4,970.0,45,0,30
92.4,97.1,170.1,25.5,971.7,45,0,30
95.7,98.6,170.1,22.9,973.3,45,0,30
98.9,98.6,169.9,19.7,972.9,45,0,30
102.2,97.6,170.4,27.4,972.9,45,0,30
105.5,101.9,170.6,19.5,972.6,45,1,30
108.8,97.1,170.7,18.0,974.7,45,0,30
112.0,84.7,170.7,14.8,976.0,45,0,30
115.3,96.2,171.0,19.0,976.4,45,0,30
118.5,91.3,171.3,24.4,977.1,45,0,30
121.7,96.2,171.9,18.1,976.4,45,0,30
125.0,36.2,177.5,6.4,976.4,45,0,30
128.2,9.2,177.6,1.0,976.4,45,0,30
131.7,2.2,178.0,0.4,976.4,45,0,30
134.9,0.0,178.1,1.0,976.4,45,0,30
138.1,0.0,178.1,2.0,976.4,45,0,30
141.3,0.0,178.1,0.5,976.4,45,0,30
144.7,0.0,178.1,0.9,976.4,45,0,30
147.9,0.0,178.1,1.0,976.4,45,0,30
151.1,17.2,178.0,3.5,976.5,45,0,30
154.3,37.8,178.2,8.0,977.0,45,0,30
157.4,1.0,178.3,1.0,977.0,45,0,30
160.6,1.5,179.4,1.0,977.0,45,0,30
163.8,0.0,180.1,1.9,977.0,45,0,30
167.0,0.5,180.1,1.5,977.0,45,0,30
170.3,0.5,180.1,1.0,977.0,45,0,30
173.5,0.5,180.1,1.0,977.0,45,0,30
176.7,0.0,180.1,1.5,977.0,45,0,30
180.0,0.9,180.3,0.9,977.0,45,0,30
183.2,39.8,180.5,8.9,977.8,45,0,30
186.4,1.0,180.6,1.0,977.8,45,0,30
189.6,0.0,181.6,1.5,977.8,45,0,30
192.8,1.0,182.6,1.5,977.8,45,0,30
196.0,0.5,182.7,1.0,977.8,45,0,30
199.2,0.0,182.7,2.0,977.8,45,0,30
202.4,0.0,182.7,0.5,977.8,45,0,30
205.7,0.0,182.7,1.9,977.8,45,0,30
209.2,1.3,182.5,2.6,977.8,45,0,30
212.4,32.2,177.1,3.5,977.6,45,0,30
215.6,14.1,177.1,2.0,977.6,45,0,30
219.2,0.4,177.1,1.3,977.6,45,0,30
222.4,0.0,177.1,1.4,977.6,45,0,30
