Method,Name,Error,Occurrences,First Seen,Last Seen
GET,/api/v1/qr/menu [mixed:pre-order],CatchResponseError('menu load failed: 0'),1,2026-08-12T22:16:33Z,2026-08-12T22:16:33Z
GET,/api/v1/qr/menu [isolation-control:b],CatchResponseError('menu load failed: 0'),17,2026-08-12T22:15:49Z,2026-08-12T22:17:03Z
GET,/api/v1/qr/menu [mixed:browse],CatchResponseError('menu load failed: 0'),9,2026-08-12T22:16:05Z,2026-08-12T22:17:08Z
GET,/api/v1/qr/orders/{id} [mixed:poll],CatchResponseError('status poll failed: 500'),3,2026-08-12T22:17:48Z,2026-08-12T22:18:16Z
GET,/api/v1/qr/menu [mixed:browse],CatchResponseError('menu load failed: 500'),21,2026-08-12T22:17:47Z,2026-08-12T22:18:50Z
GET,/api/v1/qr/menu [mixed:poll-fallback],CatchResponseError('menu load failed: 500'),11,2026-08-12T22:17:47Z,2026-08-12T22:18:50Z
POST,/api/v1/qr/orders [mixed:POST],CatchResponseError('order placement failed: 500: Internal Server Error'),2,2026-08-12T22:17:47Z,2026-08-12T22:18:47Z
GET,/api/v1/qr/menu [mixed:pre-order],CatchResponseError('menu load failed: 500'),4,2026-08-12T22:18:17Z,2026-08-12T22:18:48Z
GET,/api/v1/qr/menu [mixed:poll-fallback],CatchResponseError('menu load failed: 0'),4,2026-08-12T22:16:20Z,2026-08-12T22:17:00Z
GET,/api/v1/qr/menu [isolation-control:b],CatchResponseError('menu load failed: 500'),50,2026-08-12T22:17:45Z,2026-08-12T22:18:50Z
