Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1786572921,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1786572922,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1786572923,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1786572924,3,POST,/api/v1/auth/login,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,2397.441799999797,2397.441799999797,2397.441799999797,2397.441799999797,703.0
1786572924,3,GET,/api/v1/orders [staff],0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,277.3516000015661,277.3516000015661,277.3516000015661,277.3516000015661,290713.0
1786572924,3,,Aggregated,0.000000,0.000000,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2,0,280,1337.3967000006814,277.3516000015661,2397.441799999797,145708.0
1786572925,4,POST,/api/v1/auth/login,0.000000,0.000000,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2,0,2344.1672999979346,2370.8045499988657,2344.1672999979346,2397.441799999797,703.0
1786572925,4,GET,/api/v1/orders [staff],0.000000,0.000000,30,30,30,30,30,30,30,30,30,30,30,2,0,30.37659999972675,153.86410000064643,30.37659999972675,277.3516000015661,145357.5
1786572925,4,,Aggregated,0.000000,0.000000,2300,2300,2400,2400,2400,2400,2400,2400,2400,2400,2400,4,0,280,1262.334324999756,30.37659999972675,2397.441799999797,73030.25
1786572926,5,POST,/api/v1/auth/login,0.000000,0.000000,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,3,0,2336.070200002723,2359.2264333334847,2336.070200002723,2397.441799999797,703.0
1786572926,5,GET,/api/v1/orders [staff],0.000000,0.000000,240,240,240,240,240,240,240,240,240,240,240,3,0,240,181.034133334227,30.37659999972675,277.3516000015661,193809.33333333334
1786572926,5,,Aggregated,0.000000,0.000000,2300,2300,2300,2300,2400,2400,2400,2400,2400,2400,2400,6,0,280,1270.130283333856,30.37659999972675,2397.441799999797,97256.16666666667
1786572927,6,POST,/api/v1/auth/login,0.333333,0.000000,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,4,0,2317.3143999993044,2348.7484249999397,2317.3143999993044,2397.441799999797,703.0
1786572927,6,GET,/api/v1/orders [staff],0.333333,0.000000,30,30,240,240,240,240,240,240,240,240,240,4,0,30,142.77300000048854,27.989599999273196,277.3516000015661,145357.5
1786572927,6,,Aggregated,0.666667,0.000000,2300,2300,2300,2300,2400,2400,2400,2400,2400,2400,2400,8,0,280,1245.7607125002141,27.989599999273196,2397.441799999797,73030.25
1786572928,7,POST,/api/v1/auth/login,0.500000,0.000000,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,5,0,2317.3143999993044,2344.0799800002424,2317.3143999993044,2397.441799999797,703.0
1786572928,7,GET,/api/v1/orders [staff],0.500000,0.000000,240,240,240,240,240,240,240,240,240,240,240,5,0,240,162.9887000002782,27.989599999273196,277.3516000015661,174843.6
1786572928,7,,Aggregated,1.000000,0.000000,2300,2300,2300,2300,2400,2400,2400,2400,2400,2400,2400,10,0,280,1253.5343400002603,27.989599999273196,2397.441799999797,87773.3
1786572929,8,POST,/api/v1/auth/login,0.600000,0.000000,2300,2300,2300,2400,2400,2400,2400,2400,2400,2400,2400,6,0,2317.3143999993044,2354.8182500004864,2317.3143999993044,2408.5096000017074,703.0
1786572929,8,GET,/api/v1/orders [staff],0.600000,0.000000,32,240,240,240,240,240,240,240,240,240,240,6,0,32,141.19231666639584,27.989599999273196,277.3516000015661,145703.33333333334
1786572929,8,,Aggregated,1.200000,0.000000,2300,2300,2300,2300,2400,2400,2400,2400,2400,2400,2400,12,0,280,1248.0052833334412,27.989599999273196,2408.5096000017074,73203.16666666667
