elapsed_s,backend_cpu_pct,backend_rss_mb,postgres_total_cpu_pct,postgres_total_rss_mb,postgres_process_count,db_active_connections,db_total_connections
3.0,0.5,146.1,0.0,496.3,25,0,10
6.1,2.5,145.8,0.5,496.4,25,0,10
9.2,5.0,145.8,1.0,496.4,25,0,10
12.4,9.0,141.8,5.5,497.4,25,0,10
15.5,9.9,141.7,2.5,497.7,25,0,10
18.6,18.5,142.1,4.5,497.9,25,0,10
21.8,18.9,142.5,5.5,497.8,25,0,10
24.9,21.0,142.6,6.5,498.6,25,0,10
28.0,25.0,142.9,9.0,498.6,25,0,10
31.1,28.0,143.2,6.5,498.5,25,0,10
34.3,21.5,143.2,8.5,498.7,25,0,10
37.4,30.8,143.6,8.0,498.8,25,0,10
40.5,39.8,143.6,5.0,499.1,25,0,10
43.7,34.0,143.7,9.0,499.4,25,1,10
46.8,39.3,143.8,10.5,499.6,25,0,10
49.9,52.5,143.8,7.0,499.5,25,0,10
53.1,42.5,144.3,10.0,499.5,25,0,10
56.2,51.0,145.0,12.0,499.7,25,0,10
59.3,64.0,145.0,12.5,499.8,25,0,10
62.4,48.0,145.2,13.0,500.0,25,0,10
65.6,53.2,146.0,15.0,500.2,25,0,10
68.7,68.5,146.0,11.5,500.2,25,0,10
72.0,65.7,146.0,13.9,500.4,25,0,10
75.1,66.0,146.5,18.0,500.3,25,0,10
78.2,55.6,147.0,16.5,500.7,25,0,10
81.3,92.4,147.5,11.5,491.5,25,0,10
84.4,75.0,147.5,16.0,496.6,25,0,10
87.5,79.9,147.9,15.5,497.3,25,0,10
90.8,94.3,148.3,15.5,593.4,30,0,15
93.9,90.5,148.8,13.0,491.5,25,0,10
97.1,95.5,148.8,20.0,491.9,25,0,10
100.2,99.5,150.2,31.4,884.8,45,1,30
103.4,101.5,147.9,19.5,896.4,45,0,30
106.6,96.6,150.7,19.8,899.5,45,0,30
109.8,85.4,155.9,16.5,899.9,45,0,30
113.1,2.4,157.4,1.4,899.7,45,0,30
116.2,0.5,158.9,0.5,899.7,45,0,30
119.3,0.0,160.1,0.5,899.7,45,0,30
122.5,0.0,160.7,0.0,899.6,45,0,30
125.6,0.5,161.2,0.0,898.0,45,0,30
128.7,0.0,161.2,0.5,897.7,45,0,30
131.9,0.5,161.2,0.5,896.7,45,0,30
135.1,0.5,163.0,0.0,896.7,45,0,30
138.2,14.9,165.0,4.5,899.5,45,0,30
141.3,9.0,165.1,1.0,899.5,45,0,30
144.5,0.5,165.1,0.0,899.5,45,0,30
147.6,1.0,165.1,0.5,899.5,45,0,30
150.9,0.0,165.1,0.0,899.4,45,0,30
154.1,0.5,165.1,0.0,899.5,45,0,30
157.2,0.5,165.1,0.5,899.5,45,0,30
160.3,0.0,165.1,0.5,899.5,45,0,30
163.5,0.5,165.1,1.0,899.5,45,0,30
166.6,0.0,165.1,0.5,899.5,45,0,30
169.7,12.9,165.2,2.0,900.6,45,0,30
172.9,0.5,165.2,0.5,900.6,45,0,30
176.1,1.0,165.7,0.0,900.6,45,0,30
179.2,1.0,166.6,1.0,900.6,45,0,30
182.4,0.0,166.9,0.0,900.6,45,0,30
185.5,0.0,166.9,0.5,900.6,45,0,30
188.7,0.0,166.9,0.5,900.6,45,0,30
191.8,0.0,166.9,0.5,900.6,45,0,30
195.0,0.0,166.9,1.5,900.5,45,0,30
198.1,3.0,167.0,0.5,901.3,45,0,30
201.2,8.0,167.3,1.0,901.4,45,0,30
204.3,0.0,167.5,0.5,901.4,45,0,30
207.5,2.0,169.4,0.0,901.4,45,0,30
210.6,0.0,170.3,0.0,907.8,46,0,30
213.7,0.0,170.3,0.0,901.4,45,0,30
216.8,0.0,170.3,0.5,901.4,45,0,30
220.0,0.5,170.3,0.5,901.4,45,0,30
